,0,1,2,3,4
0,0.0683,0.085,0.0588,0.0267,0.0489
1,0.0588,0.0267,0.0489,0.0453,0.0633
2,0.0489,0.0453,0.0633,0.0538,0.0725
3,0.0633,0.0538,0.0725,0.0637,0.0904
4,0.0725,0.0637,0.0904,0.1078,0.095
5,0.0904,0.1078,0.095,0.0707,0.0278
6,0.095,0.0707,0.0278,0.0187,0.0423
7,0.0278,0.0187,0.0423,0.0494,0.0865
8,0.0423,0.0494,0.0865,0.0399,0.0377
9,0.0865,0.0399,0.0377,0.0524,0.0251
10,0.0377,0.0524,0.0251,0.0136,0.0134
11,0.0251,0.0136,0.0134,0.0383,0.1372
12,0.0134,0.0383,0.1372,0.2097,0.0815
13,0.1372,0.2097,0.0815,0.0808,0.1164
14,0.0815,0.0808,0.1164,0.1493,0.1066
15,0.1164,0.1493,0.1066,0.1858,0.0397
16,0.1066,0.1858,0.0397,0.0104,0.0101
17,0.0397,0.0104,0.0101,0.0137,0.0112
18,0.0101,0.0137,0.0112,0.0156,0.0073
19,0.0112,0.0156,0.0073,0.0061,0.0101
20,0.0073,0.0061,0.0101,0.0099,0.0109
21,0.0101,0.0099,0.0109,0.0125,0.009
22,0.0109,0.0125,0.009,0.0052,0.0054
23,0.009,0.0052,0.0054,0.003,0.0036
24,0.0054,0.003,0.0036,0.0055,0.003
25,0.0036,0.0055,0.003,0.002,0.004
26,0.003,0.002,0.004,0.0099,0.0051
27,0.004,0.0099,0.0051,0.0042,0.0054
28,0.0051,0.0042,0.0054,0.0034,0.0035
29,0.0054,0.0034,0.0035,0.0031,0.0025
30,0.0035,0.0031,0.0025,0.0027,0.0046
31,0.0025,0.0027,0.0046,0.0045,0.0038
32,0.0046,0.0045,0.0038,0.0062,0.0053
33,0.0038,0.0062,0.0053,0.0072,0.0091
34,0.0053,0.0072,0.0091,0.0113,0.0089
35,0.0091,0.0113,0.0089,0.017,0.012
36,0.0089,0.017,0.012,0.0139,0.0064
37,0.012,0.0139,0.0064,0.0085,0.0114
38,0.0064,0.0085,0.0114,0.0099,0.0112
39,0.0114,0.0099,0.0112,0.0083,0.0066
40,0.0112,0.0083,0.0066,0.008,0.0113
41,0.0066,0.008,0.0113,0.0157,0.008
42,0.0113,0.0157,0.008,0.0045,0.009
43,0.008,0.0045,0.009,0.0089,0.0072
44,0.009,0.0089,0.0072,0.0073,0.0082
45,0.0072,0.0073,0.0082,0.0073,0.0231
46,0.0082,0.0073,0.0231,0.0122,0.011
47,0.0231,0.0122,0.011,0.0061,0.0113
48,0.011,0.0061,0.0113,0.0103,0.0055
49,0.0113,0.0103,0.0055,0.0068,0.029
50,0.0055,0.0068,0.029,0.0162,0.013
51,0.029,0.0162,0.013,0.0282,0.0325
52,0.013,0.0282,0.0325,0.0198,0.0161
53,0.0325,0.0198,0.0161,0.0199,0.02
54,0.0161,0.0199,0.02,0.0159,0.0164
55,0.02,0.0159,0.0164,0.0148,0.0123
56,0.0164,0.0148,0.0123,0.0142,0.0142
57,0.0123,0.0142,0.0142,0.0139,0.0141
58,0.0142,0.0139,0.0141,0.0139,0.0132
59,0.0141,0.0139,0.0132,0.0152,0.0145
60,0.0132,0.0152,0.0145,0.0143,0.0121
61,0.0145,0.0143,0.0121,0.0125,0.0119
62,0.0121,0.0125,0.0119,0.0131,0.0157
63,0.0119,0.0131,0.0157,0.016,0.0125
64,0.0157,0.016,0.0125,0.0119,0.0125
65,0.0125,0.0119,0.0125,0.0117,0.0117
66,0.0125,0.0117,0.0117,0.0116,0.0133
67,0.0117,0.0116,0.0133,0.0123,0.0116
68,0.0133,0.0123,0.0116,0.0109,0.0108
69,0.0116,0.0109,0.0108,0.0112,0.0093
70,0.0108,0.0112,0.0093,0.0084,0.0069
71,0.0093,0.0084,0.0069,0.01,0.0097
72,0.0069,0.01,0.0097,0.0097,0.009
73,0.0097,0.0097,0.009,0.0091,0.0154
74,0.009,0.0091,0.0154,0.013,0.0161
75,0.0154,0.013,0.0161,0.0077,0.0087
76,0.0161,0.0077,0.0087,0.0193,0.0198
77,0.0087,0.0193,0.0198,0.0154,0.0074
78,0.0198,0.0154,0.0074,0.0078,0.0063
79,0.0074,0.0078,0.0063,0.006,0.0054
80,0.0063,0.006,0.0054,0.0079,0.0077
81,0.0054,0.0079,0.0077,0.0073,0.0063
82,0.0077,0.0073,0.0063,0.0031,0.0028
83,0.0063,0.0031,0.0028,0.0027,0.0039
84,0.0028,0.0027,0.0039,0.0041,0.0069
85,0.0039,0.0041,0.0069,0.0077,0.0179
