,0,1,2,3,4,cluster
0,0.0683,0.085,0.0588,0.0267,0.0489,3
0,0.0588,0.0267,0.0489,0.0453,0.0633,3
0,0.0489,0.0453,0.0633,0.0538,0.0725,3
0,0.0633,0.0538,0.0725,0.0637,0.0904,3
0,0.0725,0.0637,0.0904,0.1078,0.095,3
0,0.0904,0.1078,0.095,0.0707,0.0278,3
0,0.095,0.0707,0.0278,0.0187,0.0423,3
0,0.0278,0.0187,0.0423,0.0494,0.0865,3
0,0.0423,0.0494,0.0865,0.0399,0.0377,3
0,0.0865,0.0399,0.0377,0.0524,0.0251,3
0,0.0377,0.0524,0.0251,0.0136,0.0134,3
0,0.0251,0.0136,0.0134,0.0383,0.1372,3
0,0.0134,0.0383,0.1372,0.2097,0.0815,4
0,0.1372,0.2097,0.0815,0.0808,0.1164,4
0,0.0815,0.0808,0.1164,0.1493,0.1066,3
0,0.1164,0.1493,0.1066,0.1858,0.0397,4
0,0.1066,0.1858,0.0397,0.0104,0.0101,4
0,0.0397,0.0104,0.0101,0.0137,0.0112,2
0,0.0101,0.0137,0.0112,0.0156,0.0073,2
0,0.0112,0.0156,0.0073,0.0061,0.0101,1
0,0.0073,0.0061,0.0101,0.0099,0.0109,1
0,0.0101,0.0099,0.0109,0.0125,0.009,1
0,0.0109,0.0125,0.009,0.0052,0.0054,1
0,0.009,0.0052,0.0054,0.003,0.0036,1
0,0.0054,0.003,0.0036,0.0055,0.003,1
0,0.0036,0.0055,0.003,0.002,0.004,1
0,0.003,0.002,0.004,0.0099,0.0051,1
0,0.004,0.0099,0.0051,0.0042,0.0054,1
0,0.0051,0.0042,0.0054,0.0034,0.0035,1
0,0.0054,0.0034,0.0035,0.0031,0.0025,1
0,0.0035,0.0031,0.0025,0.0027,0.0046,1
0,0.0025,0.0027,0.0046,0.0045,0.0038,1
0,0.0046,0.0045,0.0038,0.0062,0.0053,1
0,0.0038,0.0062,0.0053,0.0072,0.0091,1
0,0.0053,0.0072,0.0091,0.0113,0.0089,1
0,0.0091,0.0113,0.0089,0.017,0.012,2
0,0.0089,0.017,0.012,0.0139,0.0064,2
0,0.012,0.0139,0.0064,0.0085,0.0114,1
0,0.0064,0.0085,0.0114,0.0099,0.0112,1
0,0.0114,0.0099,0.0112,0.0083,0.0066,1
0,0.0112,0.0083,0.0066,0.008,0.0113,1
0,0.0066,0.008,0.0113,0.0157,0.008,1
0,0.0113,0.0157,0.008,0.0045,0.009,2
0,0.008,0.0045,0.009,0.0089,0.0072,1
0,0.009,0.0089,0.0072,0.0073,0.0082,1
0,0.0072,0.0073,0.0082,0.0073,0.0231,2
0,0.0082,0.0073,0.0231,0.0122,0.011,2
0,0.0231,0.0122,0.011,0.0061,0.0113,2
0,0.011,0.0061,0.0113,0.0103,0.0055,1
0,0.0113,0.0103,0.0055,0.0068,0.029,2
0,0.0055,0.0068,0.029,0.0162,0.013,2
0,0.029,0.0162,0.013,0.0282,0.0325,2
0,0.013,0.0282,0.0325,0.0198,0.0161,2
0,0.0325,0.0198,0.0161,0.0199,0.02,2
0,0.0161,0.0199,0.02,0.0159,0.0164,2
0,0.02,0.0159,0.0164,0.0148,0.0123,1
0,0.0164,0.0148,0.0123,0.0142,0.0142,1
0,0.0123,0.0142,0.0142,0.0139,0.0141,1
0,0.0142,0.0139,0.0141,0.0139,0.0132,1
0,0.0141,0.0139,0.0132,0.0152,0.0145,1
0,0.0132,0.0152,0.0145,0.0143,0.0121,1
0,0.0145,0.0143,0.0121,0.0125,0.0119,1
0,0.0121,0.0125,0.0119,0.0131,0.0157,1
0,0.0119,0.0131,0.0157,0.016,0.0125,1
0,0.0157,0.016,0.0125,0.0119,0.0125,1
0,0.0125,0.0119,0.0125,0.0117,0.0117,1
0,0.0125,0.0117,0.0117,0.0116,0.0133,1
0,0.0117,0.0116,0.0133,0.0123,0.0116,1
0,0.0133,0.0123,0.0116,0.0109,0.0108,1
0,0.0116,0.0109,0.0108,0.0112,0.0093,1
0,0.0108,0.0112,0.0093,0.0084,0.0069,1
0,0.0093,0.0084,0.0069,0.01,0.0097,1
0,0.0069,0.01,0.0097,0.0097,0.009,1
0,0.0097,0.0097,0.009,0.0091,0.0154,1
0,0.009,0.0091,0.0154,0.013,0.0161,2
0,0.0154,0.013,0.0161,0.0077,0.0087,2
0,0.0161,0.0077,0.0087,0.0193,0.0198,2
0,0.0087,0.0193,0.0198,0.0154,0.0074,2
0,0.0198,0.0154,0.0074,0.0078,0.0063,2
0,0.0074,0.0078,0.0063,0.006,0.0054,1
0,0.0063,0.006,0.0054,0.0079,0.0077,1
0,0.0054,0.0079,0.0077,0.0073,0.0063,1
0,0.0077,0.0073,0.0063,0.0031,0.0028,1
0,0.0063,0.0031,0.0028,0.0027,0.0039,1
0,0.0028,0.0027,0.0039,0.0041,0.0069,1
0,0.0039,0.0041,0.0069,0.0077,0.0179,2
0,0.0069,0.0077,0.0179,0.0132,0.0132,2
0,0.0179,0.0132,0.0132,0.014,0.0184,2
0,0.0132,0.014,0.0184,0.0169,0.0093,2
0,0.0184,0.0169,0.0093,0.0098,0.0056,2
0,0.0093,0.0098,0.0056,0.0086,0.0173,2
0,0.0056,0.0086,0.0173,0.0164,0.0114,2
0,0.0173,0.0164,0.0114,0.009,0.0202,2
0,0.0114,0.009,0.0202,0.0276,0.0441,2
0,0.0202,0.0276,0.0441,0.0108,0.0116,3
0,0.0441,0.0108,0.0116,0.007,0.0067,3
0,0.0116,0.007,0.0067,0.0099,0.0127,1
0,0.0067,0.0099,0.0127,0.0164,0.0147,1
0,0.0127,0.0164,0.0147,0.0221,0.0133,2
0,0.0147,0.0221,0.0133,0.0153,0.0144,2
0,0.0133,0.0153,0.0144,0.0103,0.0117,1
0,0.0144,0.0103,0.0117,0.0159,0.0135,1
0,0.0117,0.0159,0.0135,0.0111,0.0107,1
0,0.0135,0.0111,0.0107,0.0096,0.0094,1
0,0.0107,0.0096,0.0094,0.0182,0.0157,2
0,0.0094,0.0182,0.0157,0.0162,0.0125,2
0,0.0157,0.0162,0.0125,0.0124,0.0125,1
0,0.0125,0.0124,0.0125,0.0129,0.0128,1
