seconds,date,activity_load_2d,activity_load_3d
1.802,2023-04-23 18:10:39.569,0.0683,0.0928
2.802,2023-04-23 18:10:40.569,0.085,0.1123
3.802,2023-04-23 18:10:41.569,0.0588,0.071
4.802,2023-04-23 18:10:42.569,0.0267,0.0356
5.802,2023-04-23 18:10:43.569,0.0489,0.0677
6.802,2023-04-23 18:10:44.569,0.0453,0.0642
7.802,2023-04-23 18:10:45.569,0.0633,0.0918
8.802,2023-04-23 18:10:46.569,0.0538,0.0757
9.802,2023-04-23 18:10:47.569,0.0725,0.0892
10.802,2023-04-23 18:10:48.569,0.0637,0.0786
11.802,2023-04-23 18:10:49.569,0.0904,0.1129
12.802,2023-04-23 18:10:50.569,0.1078,0.1232
13.802,2023-04-23 18:10:51.569,0.095,0.1197
14.802,2023-04-23 18:10:52.569,0.0707,0.0782
15.802,2023-04-23 18:10:53.569,0.0278,0.0354
16.802,2023-04-23 18:10:54.569,0.0187,0.0222
17.802,2023-04-23 18:10:55.569,0.0423,0.0553
18.802,2023-04-23 18:10:56.569,0.0494,0.0643
19.802,2023-04-23 18:10:57.569,0.0865,0.1145
20.802,2023-04-23 18:10:58.569,0.0399,0.0498
21.802,2023-04-23 18:10:59.569,0.0377,0.0436
22.802,2023-04-23 18:11:00.569,0.0524,0.0615
23.802,2023-04-23 18:11:01.569,0.0251,0.0299
24.802,2023-04-23 18:11:02.569,0.0136,0.0156
25.802,2023-04-23 18:11:03.569,0.0134,0.0166
26.802,2023-04-23 18:11:04.569,0.0383,0.0474
27.802,2023-04-23 18:11:05.569,0.1372,0.1579
28.802,2023-04-23 18:11:06.569,0.2097,0.249
29.802,2023-04-23 18:11:07.569,0.0815,0.1045
30.802,2023-04-23 18:11:08.569,0.0808,0.1023
31.802,2023-04-23 18:11:09.569,0.1164,0.173
32.802,2023-04-23 18:11:10.569,0.1493,0.2001
33.802,2023-04-23 18:11:11.569,0.1066,0.1416
34.802,2023-04-23 18:11:12.569,0.1858,0.2098
35.802,2023-04-23 18:11:13.569,0.0397,0.0604
36.802,2023-04-23 18:11:14.569,0.0104,0.0124
37.802,2023-04-23 18:11:15.569,0.0101,0.0141
38.802,2023-04-23 18:11:16.569,0.0137,0.0189
39.802,2023-04-23 18:11:17.569,0.0112,0.016
40.802,2023-04-23 18:11:18.569,0.0156,0.0196
41.802,2023-04-23 18:11:19.569,0.0073,0.0091
42.802,2023-04-23 18:11:20.569,0.0061,0.0076
43.802,2023-04-23 18:11:21.569,0.0101,0.0118
44.802,2023-04-23 18:11:22.569,0.0099,0.0139
45.802,2023-04-23 18:11:23.569,0.0109,0.0147
46.802,2023-04-23 18:11:24.569,0.0125,0.016
47.802,2023-04-23 18:11:25.569,0.009,0.0102
48.802,2023-04-23 18:11:26.569,0.0052,0.0071
49.802,2023-04-23 18:11:27.569,0.0054,0.0075
50.802,2023-04-23 18:11:28.569,0.003,0.0038
51.802,2023-04-23 18:11:29.569,0.0036,0.0046
52.802,2023-04-23 18:11:30.569,0.0055,0.0076
53.802,2023-04-23 18:11:31.569,0.003,0.004
54.802,2023-04-23 18:11:32.569,0.002,0.0024
55.802,2023-04-23 18:11:33.569,0.004,0.0058
56.802,2023-04-23 18:11:34.569,0.0099,0.012
57.802,2023-04-23 18:11:35.569,0.0051,0.0066
58.802,2023-04-23 18:11:36.569,0.0042,0.0052
59.802,2023-04-23 18:11:37.569,0.0054,0.0062
60.802,2023-04-23 18:11:38.569,0.0034,0.0042
61.802,2023-04-23 18:11:39.569,0.0035,0.0043
62.962,2023-04-23 18:11:40.729,0.0031,0.0037
63.962,2023-04-23 18:11:41.729,0.0025,0.003
64.962,2023-04-23 18:11:42.729,0.0027,0.0032
65.962,2023-04-23 18:11:43.729,0.0046,0.0053
66.962,2023-04-23 18:11:44.729,0.0045,0.0051
67.962,2023-04-23 18:11:45.729,0.0038,0.0045
68.962,2023-04-23 18:11:46.729,0.0062,0.0073
69.962,2023-04-23 18:11:47.729,0.0053,0.0061
70.962,2023-04-23 18:11:48.729,0.0072,0.0092
71.962,2023-04-23 18:11:49.729,0.0091,0.0107
72.962,2023-04-23 18:11:50.729,0.0113,0.0138
73.962,2023-04-23 18:11:51.729,0.0089,0.0116
74.962,2023-04-23 18:11:52.729,0.017,0.0223
75.962,2023-04-23 18:11:53.729,0.012,0.0154
76.962,2023-04-23 18:11:54.729,0.0139,0.0236
77.962,2023-04-23 18:11:55.729,0.0064,0.0086
78.962,2023-04-23 18:11:56.729,0.0085,0.0108
79.962,2023-04-23 18:11:57.729,0.0114,0.0155
80.962,2023-04-23 18:11:58.729,0.0099,0.0156
81.962,2023-04-23 18:11:59.729,0.0112,0.0137
82.962,2023-04-23 18:12:00.729,0.0083,0.0108
83.962,2023-04-23 18:12:01.729,0.0066,0.0089
84.962,2023-04-23 18:12:02.729,0.008,0.0098
85.962,2023-04-23 18:12:03.729,0.0113,0.0143
86.962,2023-04-23 18:12:04.729,0.0157,0.0234
87.962,2023-04-23 18:12:05.729,0.008,0.0104
88.962,2023-04-23 18:12:06.729,0.0045,0.0054
89.962,2023-04-23 18:12:07.729,0.009,0.0123
90.962,2023-04-23 18:12:08.729,0.0089,0.0123
91.962,2023-04-23 18:12:09.729,0.0072,0.0099
92.962,2023-04-23 18:12:10.729,0.0073,0.011
93.962,2023-04-23 18:12:11.729,0.0082,0.0121
94.962,2023-04-23 18:12:12.729,0.0073,0.0102
95.962,2023-04-23 18:12:13.729,0.0231,0.0271
96.962,2023-04-23 18:12:14.729,0.0122,0.0177
97.962,2023-04-23 18:12:15.729,0.011,0.0152
98.962,2023-04-23 18:12:16.729,0.0061,0.0075
99.962,2023-04-23 18:12:17.729,0.0113,0.0148
