seconds,date,core_temperature
122.906,2023-04-23 18:12:40.673,36.9
122.908,2023-04-23 18:12:40.675,0.0
184.3,2023-04-23 18:13:42.067,36.9
245.468,2023-04-23 18:14:43.235,36.9
307.286,2023-04-23 18:15:45.053,36.9
368.453,2023-04-23 18:16:46.220,36.9
429.87,2023-04-23 18:17:47.637,36.9
491.264,2023-04-23 18:18:49.031,36.9
552.855,2023-04-23 18:19:50.622,36.9
614.248,2023-04-23 18:20:52.015,36.9
675.838,2023-04-23 18:21:53.605,36.9
737.255,2023-04-23 18:22:55.022,36.9
798.424,2023-04-23 18:23:56.191,36.9
860.239,2023-04-23 18:24:58.006,36.9
921.388,2023-04-23 18:25:59.155,36.9
982.805,2023-04-23 18:27:00.572,36.9
1044.197,2023-04-23 18:28:01.964,36.9
1105.787,2023-04-23 18:29:03.554,36.9
1167.185,2023-04-23 18:30:04.952,36.9
1228.775,2023-04-23 18:31:06.542,36.9
1290.149,2023-04-23 18:32:07.916,36.9
1351.76,2023-04-23 18:33:09.527,36.9
1413.175,2023-04-23 18:34:10.942,36.9
1474.322,2023-04-23 18:35:12.089,37.0
1535.815,2023-04-23 18:36:13.582,37.1
1597.232,2023-04-23 18:37:14.999,37.2
1658.625,2023-04-23 18:38:16.392,37.2
1720.233,2023-04-23 18:39:18.000,37.3
1781.609,2023-04-23 18:40:19.376,37.3
1843.24,2023-04-23 18:41:21.007,37.3
1904.576,2023-04-23 18:42:22.343,37.4
1965.79,2023-04-23 18:43:23.557,37.4
2027.604,2023-04-23 18:44:25.371,37.4
2088.751,2023-04-23 18:45:26.518,37.5
2150.166,2023-04-23 18:46:27.933,37.5
2211.56,2023-04-23 18:47:29.327,37.5
2273.133,2023-04-23 18:48:30.900,37.5
2334.547,2023-04-23 18:49:32.314,37.6
2396.119,2023-04-23 18:50:33.886,37.6
2457.533,2023-04-23 18:51:35.300,37.6
2519.125,2023-04-23 18:52:36.892,37.6
2580.52,2023-04-23 18:53:38.287,37.6
2641.688,2023-04-23 18:54:39.455,37.6
2703.104,2023-04-23 18:55:40.871,37.6
2764.672,2023-04-23 18:56:42.439,37.6
2826.089,2023-04-23 18:57:43.856,37.6
2887.463,2023-04-23 18:58:45.230,37.6
2949.074,2023-04-23 18:59:46.841,37.6
3010.566,2023-04-23 19:00:48.333,37.6
3072.083,2023-04-23 19:01:49.850,37.6
3133.433,2023-04-23 19:02:51.200,37.6
3194.623,2023-04-23 19:03:52.390,37.6
3256.04,2023-04-23 19:04:53.807,37.6
3317.609,2023-04-23 19:05:55.376,37.6
3379.025,2023-04-23 19:06:56.792,37.6
3440.44,2023-04-23 19:07:58.207,37.6
3502.011,2023-04-23 19:08:59.778,37.6
3563.404,2023-04-23 19:10:01.171,37.6
3624.996,2023-04-23 19:11:02.763,37.6
3686.39,2023-04-23 19:12:04.157,37.6
3747.561,2023-04-23 19:13:05.328,37.7
3808.998,2023-04-23 19:14:06.765,37.6
3870.545,2023-04-23 19:15:08.312,37.6
3931.962,2023-04-23 19:16:09.729,37.6
3993.378,2023-04-23 19:17:11.145,37.6
4054.948,2023-04-23 19:18:12.715,37.7
4116.34,2023-04-23 19:19:14.107,37.7
4177.935,2023-04-23 19:20:15.702,37.8
