seconds,date,hr
126.304,2023-04-23 18:12:44.071,75.0
126.804,2023-04-23 18:12:44.571,75.0
127.304,2023-04-23 18:12:45.071,75.0
127.804,2023-04-23 18:12:45.571,75.0
128.304,2023-04-23 18:12:46.071,75.0
128.804,2023-04-23 18:12:46.571,75.0
129.304,2023-04-23 18:12:47.071,75.0
129.804,2023-04-23 18:12:47.571,75.0
130.304,2023-04-23 18:12:48.071,76.0
130.804,2023-04-23 18:12:48.571,76.0
131.304,2023-04-23 18:12:49.071,77.0
131.804,2023-04-23 18:12:49.571,77.0
132.304,2023-04-23 18:12:50.071,77.0
132.804,2023-04-23 18:12:50.571,77.0
133.304,2023-04-23 18:12:51.071,77.0
133.804,2023-04-23 18:12:51.571,77.0
134.304,2023-04-23 18:12:52.071,77.0
134.804,2023-04-23 18:12:52.571,78.0
135.304,2023-04-23 18:12:53.071,78.0
135.804,2023-04-23 18:12:53.571,78.0
136.304,2023-04-23 18:12:54.071,78.0
136.804,2023-04-23 18:12:54.571,78.0
137.304,2023-04-23 18:12:55.071,78.0
137.804,2023-04-23 18:12:55.571,78.0
138.304,2023-04-23 18:12:56.071,78.0
138.804,2023-04-23 18:12:56.571,78.0
139.304,2023-04-23 18:12:57.071,78.0
139.804,2023-04-23 18:12:57.571,78.0
140.304,2023-04-23 18:12:58.071,78.0
140.804,2023-04-23 18:12:58.571,78.0
141.304,2023-04-23 18:12:59.071,78.0
141.804,2023-04-23 18:12:59.571,78.0
142.304,2023-04-23 18:13:00.071,78.0
142.804,2023-04-23 18:13:00.571,78.0
143.304,2023-04-23 18:13:01.071,78.0
143.804,2023-04-23 18:13:01.571,79.0
144.304,2023-04-23 18:13:02.071,79.0
144.804,2023-04-23 18:13:02.571,79.0
145.304,2023-04-23 18:13:03.071,79.0
145.804,2023-04-23 18:13:03.571,79.0
146.304,2023-04-23 18:13:04.071,79.0
149.804,2023-04-23 18:13:07.571,80.0
150.304,2023-04-23 18:13:08.071,80.0
150.804,2023-04-23 18:13:08.571,80.0
151.304,2023-04-23 18:13:09.071,80.0
151.804,2023-04-23 18:13:09.571,80.0
152.304,2023-04-23 18:13:10.071,80.0
152.804,2023-04-23 18:13:10.571,81.0
153.304,2023-04-23 18:13:11.071,81.0
153.804,2023-04-23 18:13:11.571,81.0
154.304,2023-04-23 18:13:12.071,81.0
154.804,2023-04-23 18:13:12.571,81.0
155.304,2023-04-23 18:13:13.071,81.0
155.804,2023-04-23 18:13:13.571,81.0
156.304,2023-04-23 18:13:14.071,81.0
156.804,2023-04-23 18:13:14.571,81.0
157.304,2023-04-23 18:13:15.071,81.0
157.804,2023-04-23 18:13:15.571,81.0
158.304,2023-04-23 18:13:16.071,81.0
158.804,2023-04-23 18:13:16.571,81.0
159.304,2023-04-23 18:13:17.071,81.0
159.804,2023-04-23 18:13:17.571,81.0
160.304,2023-04-23 18:13:18.071,81.0
160.804,2023-04-23 18:13:18.571,81.0
161.304,2023-04-23 18:13:19.071,81.0
165.804,2023-04-23 18:13:23.571,81.0
166.304,2023-04-23 18:13:24.071,81.0
166.804,2023-04-23 18:13:24.571,81.0
167.304,2023-04-23 18:13:25.071,81.0
167.804,2023-04-23 18:13:25.571,81.0
168.304,2023-04-23 18:13:26.071,81.0
168.804,2023-04-23 18:13:26.571,81.0
169.304,2023-04-23 18:13:27.071,81.0
169.804,2023-04-23 18:13:27.571,81.0
170.304,2023-04-23 18:13:28.071,81.0
170.804,2023-04-23 18:13:28.571,81.0
171.304,2023-04-23 18:13:29.071,81.0
171.804,2023-04-23 18:13:29.571,82.0
172.304,2023-04-23 18:13:30.071,82.0
172.804,2023-04-23 18:13:30.571,82.0
173.304,2023-04-23 18:13:31.071,82.0
173.804,2023-04-23 18:13:31.571,82.0
174.304,2023-04-23 18:13:32.071,82.0
174.804,2023-04-23 18:13:32.571,82.0
175.304,2023-04-23 18:13:33.071,82.0
175.804,2023-04-23 18:13:33.571,83.0
176.304,2023-04-23 18:13:34.071,83.0
176.804,2023-04-23 18:13:34.571,83.0
177.304,2023-04-23 18:13:35.071,83.0
177.804,2023-04-23 18:13:35.571,83.0
178.304,2023-04-23 18:13:36.071,83.0
178.804,2023-04-23 18:13:36.571,83.0
179.304,2023-04-23 18:13:37.071,83.0
179.804,2023-04-23 18:13:37.571,83.0
180.304,2023-04-23 18:13:38.071,83.0
180.804,2023-04-23 18:13:38.571,83.0
181.304,2023-04-23 18:13:39.071,83.0
181.804,2023-04-23 18:13:39.571,83.0
182.304,2023-04-23 18:13:40.071,83.0
182.804,2023-04-23 18:13:40.571,83.0
183.304,2023-04-23 18:13:41.071,83.0
183.804,2023-04-23 18:13:41.571,83.0
184.304,2023-04-23 18:13:42.071,83.0
184.804,2023-04-23 18:13:42.571,83.0
185.304,2023-04-23 18:13:43.071,83.0
185.804,2023-04-23 18:13:43.571,83.0
186.304,2023-04-23 18:13:44.071,83.0
186.804,2023-04-23 18:13:44.571,83.0
187.304,2023-04-23 18:13:45.071,83.0
187.804,2023-04-23 18:13:45.571,83.0
188.304,2023-04-23 18:13:46.071,83.0
188.804,2023-04-23 18:13:46.571,83.0
189.304,2023-04-23 18:13:47.071,83.0
189.804,2023-04-23 18:13:47.571,83.0
190.304,2023-04-23 18:13:48.071,83.0
190.804,2023-04-23 18:13:48.571,83.0
191.304,2023-04-23 18:13:49.071,83.0
191.804,2023-04-23 18:13:49.571,83.0
192.304,2023-04-23 18:13:50.071,83.0
192.804,2023-04-23 18:13:50.571,83.0
193.304,2023-04-23 18:13:51.071,83.0
193.804,2023-04-23 18:13:51.571,83.0
194.304,2023-04-23 18:13:52.071,83.0
194.804,2023-04-23 18:13:52.571,82.0
195.304,2023-04-23 18:13:53.071,82.0
195.804,2023-04-23 18:13:53.571,82.0
196.304,2023-04-23 18:13:54.071,82.0
196.804,2023-04-23 18:13:54.571,82.0
197.304,2023-04-23 18:13:55.071,82.0
199.804,2023-04-23 18:13:57.571,82.0
200.304,2023-04-23 18:13:58.071,81.0
200.804,2023-04-23 18:13:58.571,81.0
201.304,2023-04-23 18:13:59.071,80.0
201.804,2023-04-23 18:13:59.571,80.0
202.304,2023-04-23 18:14:00.071,80.0
202.804,2023-04-23 18:14:00.571,80.0
203.304,2023-04-23 18:14:01.071,80.0
203.804,2023-04-23 18:14:01.571,80.0
204.304,2023-04-23 18:14:02.071,80.0
204.804,2023-04-23 18:14:02.571,80.0
205.304,2023-04-23 18:14:03.071,80.0
205.804,2023-04-23 18:14:03.571,80.0
206.304,2023-04-23 18:14:04.071,80.0
206.804,2023-04-23 18:14:04.571,80.0
207.304,2023-04-23 18:14:05.071,80.0
207.804,2023-04-23 18:14:05.571,80.0
208.304,2023-04-23 18:14:06.071,80.0
208.804,2023-04-23 18:14:06.571,80.0
209.304,2023-04-23 18:14:07.071,80.0
209.804,2023-04-23 18:14:07.571,80.0
210.304,2023-04-23 18:14:08.071,80.0
210.804,2023-04-23 18:14:08.571,80.0
211.304,2023-04-23 18:14:09.071,80.0
211.804,2023-04-23 18:14:09.571,80.0
212.304,2023-04-23 18:14:10.071,80.0
212.804,2023-04-23 18:14:10.571,80.0
213.304,2023-04-23 18:14:11.071,80.0
213.804,2023-04-23 18:14:11.571,80.0
214.304,2023-04-23 18:14:12.071,80.0
214.804,2023-04-23 18:14:12.571,80.0
215.304,2023-04-23 18:14:13.071,80.0
215.804,2023-04-23 18:14:13.571,80.0
216.304,2023-04-23 18:14:14.071,80.0
216.804,2023-04-23 18:14:14.571,80.0
217.304,2023-04-23 18:14:15.071,80.0
217.804,2023-04-23 18:14:15.571,80.0
218.304,2023-04-23 18:14:16.071,80.0
218.804,2023-04-23 18:14:16.571,80.0
219.304,2023-04-23 18:14:17.071,80.0
219.804,2023-04-23 18:14:17.571,80.0
220.304,2023-04-23 18:14:18.071,80.0
220.804,2023-04-23 18:14:18.571,80.0
221.304,2023-04-23 18:14:19.071,80.0
221.804,2023-04-23 18:14:19.571,80.0
222.304,2023-04-23 18:14:20.071,80.0
222.804,2023-04-23 18:14:20.571,80.0
223.304,2023-04-23 18:14:21.071,80.0
223.804,2023-04-23 18:14:21.571,80.0
224.304,2023-04-23 18:14:22.071,80.0
224.804,2023-04-23 18:14:22.571,80.0
225.304,2023-04-23 18:14:23.071,80.0
225.804,2023-04-23 18:14:23.571,80.0
226.304,2023-04-23 18:14:24.071,80.0
226.804,2023-04-23 18:14:24.571,80.0
