seconds,date,hr_rmssd
115.486,2023-04-23 18:12:33.253,86.9
157.482,2023-04-23 18:13:15.249,121.8
222.475,2023-04-23 18:14:20.242,116.9
291.465,2023-04-23 18:15:29.232,99.2
435.448,2023-04-23 18:17:53.215,117.8
512.439,2023-04-23 18:19:10.206,105.2
644.423,2023-04-23 18:21:22.190,132.3
779.432,2023-04-23 18:23:37.199,128.2
872.396,2023-04-23 18:25:10.163,144.2
929.39,2023-04-23 18:26:07.157,110.8
962.385,2023-04-23 18:26:40.152,74.7
994.291,2023-04-23 18:27:12.058,96.7
1029.548,2023-04-23 18:27:47.315,101.2
1062.08,2023-04-23 18:28:19.847,66.9
1093.256,2023-04-23 18:28:51.023,81.4
1130.365,2023-04-23 18:29:28.132,90.9
1163.361,2023-04-23 18:30:01.128,65.3
1187.359,2023-04-23 18:30:25.126,63.3
1211.854,2023-04-23 18:30:49.621,65.9
1234.115,2023-04-23 18:31:11.882,95.4
1264.14,2023-04-23 18:31:41.907,107.4
1294.055,2023-04-23 18:32:11.822,49.7
1318.344,2023-04-23 18:32:36.111,63.9
1346.953,2023-04-23 18:33:04.720,50.3
1373.337,2023-04-23 18:33:31.104,69.2
1401.779,2023-04-23 18:33:59.546,59.8
1428.734,2023-04-23 18:34:26.501,50.4
1453.703,2023-04-23 18:34:51.470,50.2
1481.325,2023-04-23 18:35:19.092,51.0
1508.821,2023-04-23 18:35:46.588,55.4
1533.818,2023-04-23 18:36:11.585,48.6
1560.235,2023-04-23 18:36:38.002,51.9
1589.812,2023-04-23 18:37:07.579,35.5
1615.809,2023-04-23 18:37:33.576,66.5
1642.806,2023-04-23 18:38:00.573,65.9
1670.804,2023-04-23 18:38:28.571,54.5
1695.799,2023-04-23 18:38:53.566,61.1
1723.796,2023-04-23 18:39:21.563,44.5
1753.655,2023-04-23 18:39:51.422,60.9
1783.789,2023-04-23 18:40:21.556,60.6
1813.786,2023-04-23 18:40:51.553,53.3
1845.781,2023-04-23 18:41:23.548,62.3
1874.641,2023-04-23 18:41:52.408,58.1
1902.775,2023-04-23 18:42:20.542,51.3
1930.56,2023-04-23 18:42:48.327,50.2
1960.769,2023-04-23 18:43:18.536,66.5
1987.766,2023-04-23 18:43:45.533,53.5
2017.763,2023-04-23 18:44:15.530,52.9
2046.758,2023-04-23 18:44:44.525,46.4
2074.691,2023-04-23 18:45:12.458,58.4
2108.752,2023-04-23 18:45:46.519,39.3
2132.749,2023-04-23 18:46:10.516,57.4
2161.745,2023-04-23 18:46:39.512,56.6
2190.332,2023-04-23 18:47:08.099,81.2
2217.739,2023-04-23 18:47:35.506,89.1
2246.209,2023-04-23 18:48:03.976,93.5
2275.732,2023-04-23 18:48:33.499,38.7
2308.729,2023-04-23 18:49:06.496,70.9
2342.363,2023-04-23 18:49:40.130,44.5
2377.283,2023-04-23 18:50:15.050,57.3
2409.716,2023-04-23 18:50:47.483,65.4
2444.712,2023-04-23 18:51:22.479,71.3
2499.172,2023-04-23 18:52:16.939,53.5
2535.254,2023-04-23 18:52:53.021,61.0
2562.698,2023-04-23 18:53:20.465,73.1
2602.28,2023-04-23 18:54:00.047,66.0
2629.691,2023-04-23 18:54:27.458,53.5
2653.111,2023-04-23 18:54:50.878,67.7
2683.244,2023-04-23 18:55:21.011,68.5
2714.304,2023-04-23 18:55:52.071,70.4
2743.258,2023-04-23 18:56:21.025,75.5
2770.222,2023-04-23 18:56:47.989,76.2
2802.147,2023-04-23 18:57:19.914,69.2
2827.651,2023-04-23 18:57:45.418,56.2
2853.665,2023-04-23 18:58:11.432,73.3
2881.661,2023-04-23 18:58:39.428,73.7
2913.658,2023-04-23 18:59:11.425,68.1
2944.265,2023-04-23 18:59:42.032,66.1
2976.827,2023-04-23 19:00:14.594,52.6
3010.647,2023-04-23 19:00:48.414,58.6
3045.236,2023-04-23 19:01:23.003,44.6
3076.799,2023-04-23 19:01:54.566,73.4
3107.636,2023-04-23 19:02:25.403,79.3
3138.632,2023-04-23 19:02:56.399,65.5
3164.629,2023-04-23 19:03:22.396,43.4
3190.546,2023-04-23 19:03:48.313,49.7
3219.623,2023-04-23 19:04:17.390,65.2
3252.619,2023-04-23 19:04:50.386,77.7
3289.274,2023-04-23 19:05:27.041,78.9
3321.744,2023-04-23 19:05:59.511,92.5
3373.605,2023-04-23 19:06:51.372,74.8
3410.704,2023-04-23 19:07:28.471,78.8
3437.598,2023-04-23 19:07:55.365,90.8
3481.92,2023-04-23 19:08:39.687,85.8
3524.587,2023-04-23 19:09:22.354,86.3
3590.052,2023-04-23 19:10:27.819,65.7
3716.022,2023-04-23 19:12:33.789,76.4
3741.563,2023-04-23 19:12:59.330,41.6
3775.17,2023-04-23 19:13:32.937,101.9
3826.555,2023-04-23 19:14:24.322,96.2
3925.036,2023-04-23 19:16:02.803,63.0
3952.155,2023-04-23 19:16:29.922,67.0
3974.536,2023-04-23 19:16:52.303,69.0
4001.533,2023-04-23 19:17:19.300,67.1
4028.531,2023-04-23 19:17:46.298,54.3
4052.527,2023-04-23 19:18:10.294,46.9
4079.525,2023-04-23 19:18:37.292,43.0
4103.927,2023-04-23 19:19:01.694,46.3
4132.52,2023-04-23 19:19:30.287,46.1
4160.516,2023-04-23 19:19:58.283,59.5
4188.885,2023-04-23 19:20:26.652,55.2
4213.509,2023-04-23 19:20:51.276,41.6
4238.343,2023-04-23 19:21:16.110,52.2
4263.264,2023-04-23 19:21:41.031,55.1
4290.5,2023-04-23 19:22:08.267,62.5
4319.496,2023-04-23 19:22:37.263,77.2
4344.972,2023-04-23 19:23:02.739,57.0
4373.49,2023-04-23 19:23:31.257,57.5
4405.227,2023-04-23 19:24:02.994,42.4
4426.918,2023-04-23 19:24:24.685,57.2
4454.16,2023-04-23 19:24:51.927,48.7
4479.848,2023-04-23 19:25:17.615,59.6
4505.918,2023-04-23 19:25:43.685,66.5
4534.169,2023-04-23 19:26:11.936,59.5
4562.187,2023-04-23 19:26:39.954,57.6
4592.465,2023-04-23 19:27:10.232,55.0
4614.82,2023-04-23 19:27:32.587,49.5
4642.459,2023-04-23 19:28:00.226,50.0
4665.773,2023-04-23 19:28:23.540,59.3
4691.454,2023-04-23 19:28:49.221,52.4
