seconds,date,speed,hr,core_temperature,x,y,z,raw_rr,filtered_rr,difference_rr,hr_rmssd,activity_load_2d,activity_load_3d
115.486,2023-04-23 18:12:33.253,,,,,,,799.0,799.0,0.0,,,
116.285,2023-04-23 18:12:34.052,,,,,,,927.0,927.0,0.0,,,
117.212,2023-04-23 18:12:34.979,,,,,,,323.0,773.0,450.0,,,
117.535,2023-04-23 18:12:35.302,,,,,,,676.0,,,,,
117.985,2023-04-23 18:12:35.752,,,,,,,,676.0,0.0,,,
118.211,2023-04-23 18:12:35.978,,,,,,,443.0,,,,,
118.654,2023-04-23 18:12:36.421,,,,,,,626.0,,,,,
118.661,2023-04-23 18:12:36.428,,,,,,,,785.0,342.0,,,
119.28,2023-04-23 18:12:37.047,,,,,,,361.0,,,,,
119.446,2023-04-23 18:12:37.213,,,,,,,,795.0,169.0,,,
119.641,2023-04-23 18:12:37.408,,,,,,,621.0,,,,,
120.241,2023-04-23 18:12:38.008,,,,,,,,691.0,330.0,,,
120.262,2023-04-23 18:12:38.029,,,,,,,398.0,,,,,
120.66,2023-04-23 18:12:38.427,,,,,,,692.0,,,,,
120.932,2023-04-23 18:12:38.699,,,,,,,,673.0,52.0,,,
121.352,2023-04-23 18:12:39.119,,,,,,,420.0,,,,,
121.605,2023-04-23 18:12:39.372,,,,,,,,744.0,346.0,,,
121.772,2023-04-23 18:12:39.539,,,,,,,1030.0,,,,,
122.349,2023-04-23 18:12:40.116,,,,,,,,692.0,0.0,,,
122.802,2023-04-23 18:12:40.569,,,,,,,572.0,,,,,
123.041,2023-04-23 18:12:40.808,,,,,,,,697.0,277.0,,,
123.374,2023-04-23 18:12:41.141,,,,,,,490.0,,,,,
123.738,2023-04-23 18:12:41.505,,,,,,,,885.0,-145.0,,,
123.864,2023-04-23 18:12:41.631,,,,,,,576.0,,,,,
124.44,2023-04-23 18:12:42.207,,,,,,,426.0,,,,,
124.623,2023-04-23 18:12:42.390,,,,,,,,775.0,203.0,,,
124.866,2023-04-23 18:12:42.633,,,,,,,645.0,,,,,
125.398,2023-04-23 18:12:43.165,,,,,,,,684.0,194.0,,,
125.511,2023-04-23 18:12:43.278,,,,,,,465.0,,,,,
125.976,2023-04-23 18:12:43.743,,,,,,,557.0,,,,,
126.082,2023-04-23 18:12:43.849,,,,,,,,766.0,190.0,,,
126.533,2023-04-23 18:12:44.300,,,,,,,417.0,,,,,
126.848,2023-04-23 18:12:44.615,,,,,,,,686.0,260.0,,,
126.95,2023-04-23 18:12:44.717,,,,,,,660.0,,,,,
127.534,2023-04-23 18:12:45.301,,,,,,,,750.0,105.0,,,
127.61,2023-04-23 18:12:45.377,,,,,,,447.0,,,,,
128.057,2023-04-23 18:12:45.824,,,,,,,610.0,,,,,
128.284,2023-04-23 18:12:46.051,,,,,,,,733.0,268.0,,,
128.667,2023-04-23 18:12:46.434,,,,,,,413.0,,,,,
129.017,2023-04-23 18:12:46.784,,,,,,,,675.0,118.0,,,
129.08,2023-04-23 18:12:46.847,,,,,,,669.0,,,,,
129.692,2023-04-23 18:12:47.459,,,,,,,,703.0,286.0,,,
129.749,2023-04-23 18:12:47.516,,,,,,,424.0,,,,,
130.173,2023-04-23 18:12:47.940,,,,,,,736.0,,,,,
130.395,2023-04-23 18:12:48.162,,,,,,,,660.0,0.0,,,
130.909,2023-04-23 18:12:48.676,,,,,,,1079.0,,,,,
131.055,2023-04-23 18:12:48.822,,,,,,,,775.0,328.0,,,
131.83,2023-04-23 18:12:49.597,,,,,,,,693.0,83.0,,,
131.988,2023-04-23 18:12:49.755,,,,,,,343.0,,,,,
132.331,2023-04-23 18:12:50.098,,,,,,,250.0,,,,,
132.523,2023-04-23 18:12:50.290,,,,,,,,713.0,300.0,,,
132.581,2023-04-23 18:12:50.348,,,,,,,393.0,,,,,
132.974,2023-04-23 18:12:50.741,,,,,,,357.0,,,,,
133.236,2023-04-23 18:12:51.003,,,,,,,,669.0,0.0,,,
133.331,2023-04-23 18:12:51.098,,,,,,,357.0,,,,,
133.688,2023-04-23 18:12:51.455,,,,,,,261.0,,,,,
133.905,2023-04-23 18:12:51.672,,,,,,,,690.0,266.0,,,
133.949,2023-04-23 18:12:51.716,,,,,,,487.0,,,,,
134.436,2023-04-23 18:12:52.203,,,,,,,649.0,,,,,
134.595,2023-04-23 18:12:52.362,,,,,,,,736.0,0.0,,,
135.085,2023-04-23 18:12:52.852,,,,,,,744.0,,,,,
135.331,2023-04-23 18:12:53.098,,,,,,,,822.0,-257.0,,,
135.829,2023-04-23 18:12:53.596,,,,,,,279.0,,,,,
136.108,2023-04-23 18:12:53.875,,,,,,,514.0,,,,,
136.153,2023-04-23 18:12:53.920,,,,,,,,708.0,365.0,,,
136.622,2023-04-23 18:12:54.389,,,,,,,583.0,,,,,
136.861,2023-04-23 18:12:54.628,,,,,,,,776.0,526.0,,,
137.205,2023-04-23 18:12:54.972,,,,,,,561.0,,,,,
137.637,2023-04-23 18:12:55.404,,,,,,,,735.0,342.0,,,
137.766,2023-04-23 18:12:55.533,,,,,,,368.0,,,,,
138.134,2023-04-23 18:12:55.901,,,,,,,663.0,,,,,
138.372,2023-04-23 18:12:56.139,,,,,,,,681.0,324.0,,,
138.797,2023-04-23 18:12:56.564,,,,,,,1108.0,,,,,
139.053,2023-04-23 18:12:56.820,,,,,,,,681.0,324.0,,,
139.734,2023-04-23 18:12:57.501,,,,,,,,751.0,490.0,,,
139.905,2023-04-23 18:12:57.672,,,,,,,1028.0,,,,,
140.485,2023-04-23 18:12:58.252,,,,,,,,672.0,185.0,,,
140.933,2023-04-23 18:12:58.700,,,,,,,581.0,,,,,
141.157,2023-04-23 18:12:58.924,,,,,,,,649.0,0.0,,,
141.514,2023-04-23 18:12:59.281,,,,,,,511.0,,,,,
141.806,2023-04-23 18:12:59.573,,,,,,,,744.0,0.0,,,
142.025,2023-04-23 18:12:59.792,,,,,,,1085.0,,,,,
142.55,2023-04-23 18:13:00.317,,,,,,,,703.0,424.0,,,
143.11,2023-04-23 18:13:00.877,,,,,,,275.0,,,,,
143.253,2023-04-23 18:13:01.020,,,,,,,,734.0,220.0,,,
143.385,2023-04-23 18:13:01.152,,,,,,,334.0,,,,,
143.719,2023-04-23 18:13:01.486,,,,,,,429.0,,,,,
143.987,2023-04-23 18:13:01.754,,,,,,,,719.0,136.0,,,
144.148,2023-04-23 18:13:01.915,,,,,,,697.0,,,,,
144.706,2023-04-23 18:13:02.473,,,,,,,,642.0,81.0,,,
144.845,2023-04-23 18:13:02.612,,,,,,,544.0,,,,,
145.348,2023-04-23 18:13:03.115,,,,,,,,652.0,284.0,,,
145.389,2023-04-23 18:13:03.156,,,,,,,504.0,,,,,
145.893,2023-04-23 18:13:03.660,,,,,,,734.0,,,,,
146.0,2023-04-23 18:13:03.767,,,,,,,,663.0,0.0,,,
146.627,2023-04-23 18:13:04.394,,,,,,,524.0,,,,,
146.663,2023-04-23 18:13:04.430,,,,,,,,901.0,-207.0,,,
147.151,2023-04-23 18:13:04.918,,,,,,,611.0,,,,,
147.564,2023-04-23 18:13:05.331,,,,,,,,845.0,-183.0,,,
147.762,2023-04-23 18:13:05.529,,,,,,,504.0,,,,,
148.266,2023-04-23 18:13:06.033,,,,,,,652.0,,,,,
148.409,2023-04-23 18:13:06.176,,,,,,,,726.0,145.0,,,
148.918,2023-04-23 18:13:06.685,,,,,,,906.0,,,,,
149.135,2023-04-23 18:13:06.902,,,,,,,,741.0,230.0,,,
149.824,2023-04-23 18:13:07.591,,,,,,,481.0,,,,,
149.876,2023-04-23 18:13:07.643,,,,,,,,831.0,-254.0,,,
150.305,2023-04-23 18:13:08.072,,,,,,,3243.0,,,,,
150.707,2023-04-23 18:13:08.474,,,,,,,,711.0,436.0,,,
151.418,2023-04-23 18:13:09.185,,,,,,,,717.0,383.0,,,
152.135,2023-04-23 18:13:09.902,,,,,,,,646.0,217.0,,,
152.781,2023-04-23 18:13:10.548,,,,,,,,697.0,0.0,,,
153.478,2023-04-23 18:13:11.245,,,,,,,,664.0,120.0,,,
153.548,2023-04-23 18:13:11.315,,,,,,,1010.0,,,,,
154.142,2023-04-23 18:13:11.909,,,,,,,,738.0,234.0,,,
154.88,2023-04-23 18:13:12.647,,,,,,,,734.0,0.0,,,
155.614,2023-04-23 18:13:13.381,,,,,,,,695.0,171.0,,,
156.309,2023-04-23 18:13:14.076,,,,,,,,640.0,29.0,,,
156.949,2023-04-23 18:13:14.716,,,,,,,,729.0,225.0,,,
157.678,2023-04-23 18:13:15.445,,,,,,,,652.0,0.0,,,
158.33,2023-04-23 18:13:16.097,,,,,,,,906.0,0.0,,,
159.236,2023-04-23 18:13:17.003,,,,,,,,649.0,168.0,,,
159.885,2023-04-23 18:13:17.652,,,,,,,,892.0,-2351.0,,,
160.777,2023-04-23 18:13:18.544,,,,,,,,767.0,-243.0,,,
166.247,2023-04-23 18:13:24.014,,,,,,,,679.0,0.0,,,
166.49,2023-04-23 18:13:24.257,,,,,,,679.0,,,,,
166.926,2023-04-23 18:13:24.693,,,,,,,,639.0,220.0,,,
167.169,2023-04-23 18:13:24.936,,,,,,,419.0,,,,,
167.565,2023-04-23 18:13:25.332,,,,,,,,709.0,325.0,,,
167.588,2023-04-23 18:13:25.355,,,,,,,384.0,,,,,
167.972,2023-04-23 18:13:25.739,,,,,,,358.0,,,,,
168.274,2023-04-23 18:13:26.041,,,,,,,,630.0,272.0,,,
168.33,2023-04-23 18:13:26.097,,,,,,,355.0,,,,,
168.685,2023-04-23 18:13:26.452,,,,,,,1053.0,,,,,
168.904,2023-04-23 18:13:26.671,,,,,,,,635.0,280.0,,,
169.539,2023-04-23 18:13:27.306,,,,,,,,872.0,-181.0,,,
169.738,2023-04-23 18:13:27.505,,,,,,,1047.0,,,,,
170.411,2023-04-23 18:13:28.178,,,,,,,,853.0,-194.0,,,
170.785,2023-04-23 18:13:28.552,,,,,,,336.0,,,,,
171.121,2023-04-23 18:13:28.888,,,,,,,376.0,,,,,
171.264,2023-04-23 18:13:29.031,,,,,,,,670.0,334.0,,,
171.497,2023-04-23 18:13:29.264,,,,,,,479.0,,,,,
171.934,2023-04-23 18:13:29.701,,,,,,,,718.0,342.0,,,
171.976,2023-04-23 18:13:29.743,,,,,,,345.0,,,,,
