,seconds,date,hr,activity_load_2d,activity_load_3d,IsOnCourt
0,3262.304,2023-04-23 18:10:38.770,113.0,0.0218,0.0352,0.0
1,3263.304,2023-04-23 18:10:38.770,112.0,0.031,0.0393,0.0
2,3264.304,2023-04-23 18:10:38.770,112.0,0.0232,0.034,0.0
3,3265.304,2023-04-23 18:10:38.770,112.0,0.0202,0.0263,0.0
4,3266.304,2023-04-23 18:10:38.770,112.0,0.0228,0.0259,0.0
5,3267.304,2023-04-23 18:10:38.770,112.0,0.0104,0.0144,0.0
6,3268.304,2023-04-23 18:10:38.770,111.0,0.0089,0.0134,0.0
7,3269.304,2023-04-23 18:10:38.770,110.0,0.007,0.0105,0.0
8,3270.304,2023-04-23 18:10:38.770,110.0,0.0062,0.0082,0.0
9,3271.304,2023-04-23 18:10:38.770,110.0,0.0076,0.0099,0.0
10,3272.304,2023-04-23 18:10:38.770,110.0,0.0088,0.0129,0.0
11,3273.304,2023-04-23 18:10:38.770,110.0,0.0091,0.0127,0.0
12,3274.304,2023-04-23 18:10:38.770,110.0,0.0116,0.0162,0.0
13,3275.304,2023-04-23 18:10:38.770,110.0,0.0129,0.0159,0.0
14,3276.304,2023-04-23 18:10:38.770,111.0,0.0085,0.0103,0.0
15,3277.304,2023-04-23 18:10:38.770,110.0,0.0063,0.008,0.0
16,3278.304,2023-04-23 18:10:38.770,110.0,0.0059,0.0071,0.0
17,3279.304,2023-04-23 18:10:38.770,110.0,0.0072,0.0089,0.0
18,3280.304,2023-04-23 18:10:38.770,110.0,0.0057,0.0071,0.0
19,3281.304,2023-04-23 18:10:38.770,110.0,0.0143,0.0211,0.0
20,3282.304,2023-04-23 18:10:38.770,110.0,0.0086,0.0115,0.0
21,3283.304,2023-04-23 18:10:38.770,109.0,0.0083,0.011,0.0
22,3284.304,2023-04-23 18:10:38.770,109.0,0.0081,0.0121,0.0
23,3285.304,2023-04-23 18:10:38.770,109.0,0.0109,0.0149,0.0
24,3286.304,2023-04-23 18:10:38.770,109.0,0.0096,0.0169,0.0
25,3287.304,2023-04-23 18:10:38.770,109.0,0.0065,0.0076,0.0
26,3288.304,2023-04-23 18:10:38.770,109.0,0.0042,0.0053,0.0
27,3289.304,2023-04-23 18:10:38.770,109.0,0.0082,0.0113,0.0
28,3290.304,2023-04-23 18:10:38.770,109.0,0.0146,0.0207,0.0
29,3291.304,2023-04-23 18:10:38.770,109.0,0.0071,0.0102,0.0
30,3292.304,2023-04-23 18:10:38.770,108.0,0.0071,0.0104,0.0
31,3293.304,2023-04-23 18:10:38.770,107.0,0.0105,0.0147,0.0
32,3294.304,2023-04-23 18:10:38.770,106.0,0.0076,0.0093,0.0
