, Start, End,Is On Court
0, 00:00:00, 00:00:00,0
1, 00:00:00, 00:00:36,0
2, 00:00:36, 00:00:45,0
3, 00:00:45, 00:00:55,0
4, 00:00:55, 00:01:24,0
5, 00:01:24, 00:01:36,0
6, 00:01:36, 00:01:54,0
7, 00:01:54, 00:02:11,0
8, 00:02:11, 00:02:22,0
9, 00:02:22, 00:02:51,0
10, 00:02:51, 00:03:02,0
11, 00:03:02, 00:03:07,0
12, 00:03:07, 00:03:37,0
13, 00:03:37, 00:04:15,0
14, 00:04:15, 00:04:31,0
15, 00:04:31, 00:04:53,0
16, 00:04:53, 00:05:05,0
17, 00:05:05, 00:05:25,0
18, 00:05:25, 00:05:54,0
19, 00:05:54, 00:06:06,0
20, 00:06:06, 00:06:34,0
21, 00:06:34, 00:06:42,0
22, 00:06:42, 00:07:11,0
23, 00:07:11, 00:07:37,0
24, 00:07:37, 00:07:37,0
25, 00:07:37, 00:07:41,0
26, 00:07:41, 00:08:09,0
27, 00:08:09, 00:08:23,0
28, 00:08:23, 00:08:47,0
29, 00:08:47, 00:09:02,0
30, 00:09:02, 00:09:21,0
31, 00:09:21, 00:09:47,0
32, 00:09:47, 00:10:06,0
33, 00:10:06, 00:10:38,1
34, 00:10:38, 00:11:12,1
35, 00:11:12, 00:11:40,1
36, 00:11:40, 00:12:02,1
37, 00:12:02, 00:12:13,1
38, 00:12:13, 00:12:38,1
39, 00:12:38, 00:12:46,1
40, 00:12:46, 00:13:20,1
41, 00:13:20, 00:13:43,1
42, 00:13:43, 00:13:52,1
43, 00:13:52, 00:14:04,1
44, 00:14:04, 00:14:48,1
45, 00:14:48, 00:15:19,1
46, 00:15:19, 00:15:29,1
47, 00:15:29, 00:15:56,1
48, 00:15:56, 00:16:01,1
49, 00:16:01, 00:16:25,1
50, 00:16:25, 00:17:08,1
51, 00:17:08, 00:17:36,1
52, 00:17:36, 00:17:52,1
53, 00:17:52, 00:18:23,1
54, 00:18:23, 00:18:29,1
55, 00:18:29, 00:18:38,1
56, 00:18:38, 00:19:12,1
57, 00:19:12, 00:19:37,1
58, 00:19:37, 00:19:53,1
59, 00:19:53, 00:20:15,1
60, 00:20:15, 00:20:27,1
61, 00:20:27, 00:20:45,1
62, 00:20:45, 00:20:45,1
63, 00:20:45, 00:20:48,1
64, 00:20:48, 00:21:20,1
65, 00:21:20, 00:21:41,1
66, 00:21:41, 00:22:13,1
67, 00:22:13, 00:22:25,1
68, 00:22:25, 00:23:05,1
69, 00:23:05, 00:23:35,1
70, 00:23:35, 00:23:48,1
71, 00:23:48, 00:24:03,1
72, 00:24:03, 00:24:13,1
73, 00:24:13, 00:24:22,1
74, 00:24:22, 00:25:17,1
75, 00:25:17, 00:25:29,1
76, 00:25:29, 00:25:59,1
77, 00:25:59, 00:26:31,1
78, 00:26:31, 00:26:41,1
79, 00:26:41, 00:26:48,1
80, 00:26:48, 00:27:24,1
81, 00:27:24, 00:28:03,1
82, 00:28:03, 00:28:14,1
83, 00:28:14, 00:28:45,1
84, 00:28:45, 00:29:14,1
85, 00:29:14, 00:29:55,1
86, 00:29:55, 00:29:55,1
87, 00:29:55, 00:29:55,1
88, 00:29:55, 00:30:18,1
89, 00:30:18, 00:30:26,1
90, 00:30:26, 00:31:05,1
91, 00:31:05, 00:31:32,1
92, 00:31:32, 00:31:42,1
93, 00:31:42, 00:32:11,1
94, 00:32:11, 00:32:19,1
95, 00:32:19, 00:32:27,1
96, 00:32:27, 00:32:52,1
97, 00:32:52, 00:33:00,1
98, 00:33:00, 00:33:26,1
99, 00:33:26, 00:33:38,1
100, 00:33:38, 00:34:02,1
101, 00:34:02, 00:34:30,1
102, 00:34:30, 00:35:00,1
