,0,1,2,3,4,cluster
0,0.0566,0.0427,0.0543,0.0495,0.0335,3
0,0.0543,0.0495,0.0335,0.0337,0.0367,3
0,0.0335,0.0337,0.0367,0.0686,0.0137,3
0,0.0367,0.0686,0.0137,0.0059,0.007,3
0,0.0137,0.0059,0.007,0.0087,0.1203,4
0,0.007,0.0087,0.1203,0.0161,0.0138,4
0,0.1203,0.0161,0.0138,0.0201,0.0538,4
0,0.0138,0.0201,0.0538,0.1134,0.252,4
0,0.0538,0.1134,0.252,0.0376,0.0529,4
0,0.252,0.0376,0.0529,0.2035,0.1643,4
0,0.0529,0.2035,0.1643,0.1257,0.0772,4
0,0.1643,0.1257,0.0772,0.0602,0.0498,4
0,0.0772,0.0602,0.0498,0.0712,0.1939,4
0,0.0498,0.0712,0.1939,0.0475,0.0252,4
0,0.1939,0.0475,0.0252,0.0143,0.0111,4
0,0.0252,0.0143,0.0111,0.011,0.0231,2
0,0.0111,0.011,0.0231,0.0215,0.0229,2
0,0.0231,0.0215,0.0229,0.0206,0.027,2
0,0.0229,0.0206,0.027,0.0192,0.0172,2
0,0.027,0.0192,0.0172,0.0089,0.0179,2
0,0.0172,0.0089,0.0179,0.0062,0.0058,2
0,0.0179,0.0062,0.0058,0.0115,0.0066,2
0,0.0058,0.0115,0.0066,0.005,0.0044,2
0,0.0066,0.005,0.0044,0.0048,0.0038,1
0,0.0044,0.0048,0.0038,0.0035,0.0071,1
0,0.0038,0.0035,0.0071,0.0081,0.0092,2
0,0.0071,0.0081,0.0092,0.0135,0.0113,2
0,0.0092,0.0135,0.0113,0.0071,0.005,2
0,0.0113,0.0071,0.005,0.0046,0.0081,2
0,0.005,0.0046,0.0081,0.0124,0.0133,2
0,0.0081,0.0124,0.0133,0.0098,0.0312,2
0,0.0133,0.0098,0.0312,0.0119,0.0024,3
0,0.0312,0.0119,0.0024,0.0022,0.0037,2
0,0.0024,0.0022,0.0037,0.0103,0.0063,2
0,0.0037,0.0103,0.0063,0.0099,0.0145,2
0,0.0063,0.0099,0.0145,0.015,0.0111,2
0,0.0145,0.015,0.0111,0.0151,0.0084,2
0,0.0111,0.0151,0.0084,0.004,0.0036,2
0,0.0084,0.004,0.0036,0.0077,0.0163,2
0,0.0036,0.0077,0.0163,0.0078,0.0085,2
0,0.0163,0.0078,0.0085,0.0051,0.0079,2
0,0.0085,0.0051,0.0079,0.0078,0.0077,1
0,0.0079,0.0078,0.0077,0.0078,0.0104,2
0,0.0077,0.0078,0.0104,0.0258,0.0213,2
0,0.0104,0.0258,0.0213,0.0075,0.0028,2
0,0.0213,0.0075,0.0028,0.0026,0.0027,2
0,0.0028,0.0026,0.0027,0.0153,0.0139,2
0,0.0027,0.0153,0.0139,0.022,0.0242,2
0,0.0139,0.022,0.0242,0.0206,0.0212,2
0,0.0242,0.0206,0.0212,0.0129,0.0048,2
0,0.0212,0.0129,0.0048,0.0043,0.0058,2
0,0.0048,0.0043,0.0058,0.0062,0.0098,1
0,0.0058,0.0062,0.0098,0.0077,0.0127,2
0,0.0098,0.0077,0.0127,0.0093,0.0095,2
0,0.0127,0.0093,0.0095,0.0103,0.0126,2
0,0.0095,0.0103,0.0126,0.0156,0.0111,2
0,0.0126,0.0156,0.0111,0.0077,0.0109,2
0,0.0111,0.0077,0.0109,0.0143,0.0117,2
0,0.0109,0.0143,0.0117,0.0206,0.0272,2
0,0.0117,0.0206,0.0272,0.0502,0.0336,3
0,0.0272,0.0502,0.0336,0.0716,0.0435,3
0,0.0336,0.0716,0.0435,0.0248,0.0237,3
0,0.0435,0.0248,0.0237,0.0216,0.0198,2
0,0.0237,0.0216,0.0198,0.0266,0.0209,2
0,0.0198,0.0266,0.0209,0.0187,0.0206,2
0,0.0209,0.0187,0.0206,0.0224,0.0231,2
0,0.0206,0.0224,0.0231,0.0156,0.0198,2
0,0.0231,0.0156,0.0198,0.0214,0.0201,2
0,0.0198,0.0214,0.0201,0.0215,0.0171,2
0,0.0201,0.0215,0.0171,0.0189,0.0234,2
0,0.0171,0.0189,0.0234,0.0209,0.0214,2
0,0.0234,0.0209,0.0214,0.0227,0.0231,2
0,0.0214,0.0227,0.0231,0.0243,0.0177,2
0,0.0231,0.0243,0.0177,0.0181,0.0209,2
0,0.0177,0.0181,0.0209,0.0214,0.0225,2
0,0.0209,0.0214,0.0225,0.0189,0.0203,2
0,0.0225,0.0189,0.0203,0.0217,0.0214,2
