,seconds,date,activity_load_2d,activity_load_3d
116,1.709,[2023-04-23 18:10:15 958],0.0447,0.0566
225,2.709,[2023-04-23 18:10:16 958],0.0353,0.0427
336,3.709,[2023-04-23 18:10:17 958],0.0433,0.0543
446,4.709,[2023-04-23 18:10:18 958],0.0393,0.0495
553,5.709,[2023-04-23 18:10:19 958],0.0253,0.0335
663,6.709,[2023-04-23 18:10:20 958],0.0255,0.0337
774,7.709,[2023-04-23 18:10:21 958],0.0272,0.0367
884,8.709,[2023-04-23 18:10:22 958],0.0537,0.0686
991,9.709,[2023-04-23 18:10:23 958],0.0103,0.0137
1101,10.709,[2023-04-23 18:10:24 958],0.0048,0.0059
1212,11.709,[2023-04-23 18:10:25 958],0.0042,0.007
1322,12.709,[2023-04-23 18:10:26 958],0.0068,0.0087
1430,13.709,[2023-04-23 18:10:27 958],0.0858,0.1203
1541,14.709,[2023-04-23 18:10:28 958],0.0132,0.0161
1652,15.709,[2023-04-23 18:10:29 958],0.0107,0.0138
1762,16.709,[2023-04-23 18:10:30 958],0.0151,0.0201
1871,17.709,[2023-04-23 18:10:31 958],0.0419,0.0538
1980,18.709,[2023-04-23 18:10:32 958],0.0879,0.1134
2091,19.709,[2023-04-23 18:10:33 958],0.2002,0.252
2201,20.709,[2023-04-23 18:10:34 958],0.0266,0.0376
2308,21.709,[2023-04-23 18:10:35 958],0.0433,0.0529
2419,22.709,[2023-04-23 18:10:36 958],0.1722,0.2035
2530,23.709,[2023-04-23 18:10:37 958],0.119,0.1643
2640,24.709,[2023-04-23 18:10:38 958],0.0941,0.1257
2747,25.709,[2023-04-23 18:10:39 958],0.0559,0.0772
2858,26.709,[2023-04-23 18:10:40 958],0.0466,0.0602
2969,27.709,[2023-04-23 18:10:41 958],0.0434,0.0498
3077,28.709,[2023-04-23 18:10:42 958],0.0608,0.0712
3187,29.709,[2023-04-23 18:10:43 958],0.0958,0.1939
3298,30.709,[2023-04-23 18:10:44 958],0.0327,0.0475
3408,31.709,[2023-04-23 18:10:45 958],0.0159,0.0252
3515,32.709,[2023-04-23 18:10:46 958],0.0108,0.0143
3625,33.709,[2023-04-23 18:10:47 958],0.0067,0.0111
3736,34.709,[2023-04-23 18:10:48 958],0.0079,0.011
3846,35.709,[2023-04-23 18:10:49 958],0.0172,0.0231
3953,36.709,[2023-04-23 18:10:50 958],0.0139,0.0215
4064,37.709,[2023-04-23 18:10:51 958],0.0165,0.0229
4175,38.709,[2023-04-23 18:10:52 958],0.0117,0.0206
4284,39.709,[2023-04-23 18:10:53 958],0.0153,0.027
4393,40.709,[2023-04-23 18:10:54 958],0.0123,0.0192
4504,41.709,[2023-04-23 18:10:55 958],0.0121,0.0172
4614,42.709,[2023-04-23 18:10:56 958],0.0067,0.0089
4722,43.709,[2023-04-23 18:10:57 958],0.0124,0.0179
4832,44.709,[2023-04-23 18:10:58 958],0.0045,0.0062
4943,45.709,[2023-04-23 18:10:59 958],0.0046,0.0058
5053,46.709,[2023-04-23 18:11:00 958],0.0083,0.0115
5162,47.709,[2023-04-23 18:11:01 958],0.0051,0.0066
5273,48.709,[2023-04-23 18:11:02 958],0.0042,0.005
5384,49.709,[2023-04-23 18:11:03 958],0.0033,0.0044
5494,50.709,[2023-04-23 18:11:04 958],0.0036,0.0048
5601,51.709,[2023-04-23 18:11:05 958],0.0033,0.0038
5712,52.709,[2023-04-23 18:11:06 958],0.0027,0.0035
5823,53.709,[2023-04-23 18:11:07 958],0.0053,0.0071
5933,54.709,[2023-04-23 18:11:08 958],0.0064,0.0081
6041,55.709,[2023-04-23 18:11:09 958],0.0072,0.0092
6151,56.709,[2023-04-23 18:11:10 958],0.0091,0.0135
6262,57.709,[2023-04-23 18:11:11 958],0.0085,0.0113
6372,58.709,[2023-04-23 18:11:12 958],0.0053,0.0071
6479,59.709,[2023-04-23 18:11:13 958],0.0039,0.005
6590,60.709,[2023-04-23 18:11:14 958],0.0036,0.0046
6701,61.709,[2023-04-23 18:11:15 958],0.0064,0.0081
6827,62.87,[2023-04-23 18:11:17 119],0.0085,0.0124
6936,63.87,[2023-04-23 18:11:18 119],0.0109,0.0133
7047,64.87,[2023-04-23 18:11:19 119],0.0075,0.0098
7157,65.87,[2023-04-23 18:11:20 119],0.023,0.0312
7263,66.87,[2023-04-23 18:11:21 119],0.0082,0.0119
7373,67.87,[2023-04-23 18:11:22 119],0.0021,0.0024
7484,68.87,[2023-04-23 18:11:23 119],0.0019,0.0022
7594,69.87,[2023-04-23 18:11:24 119],0.0031,0.0037
7701,70.87,[2023-04-23 18:11:25 119],0.007,0.0103
7812,71.87,[2023-04-23 18:11:26 119],0.0046,0.0063
7923,72.87,[2023-04-23 18:11:27 119],0.0064,0.0099
8033,73.87,[2023-04-23 18:11:28 119],0.01,0.0145
8140,74.87,[2023-04-23 18:11:29 119],0.0108,0.015
8251,75.87,[2023-04-23 18:11:30 119],0.0076,0.0111
8362,76.87,[2023-04-23 18:11:31 119],0.0097,0.0151
8470,77.87,[2023-04-23 18:11:32 119],0.0051,0.0084
8579,78.87,[2023-04-23 18:11:33 119],0.0032,0.004
8690,79.87,[2023-04-23 18:11:34 119],0.0032,0.0036
8801,80.87,[2023-04-23 18:11:35 119],0.0063,0.0077
8906,81.87,[2023-04-23 18:11:36 119],0.0107,0.0163
9016,82.87,[2023-04-23 18:11:37 119],0.0062,0.0078
9127,83.87,[2023-04-23 18:11:38 119],0.007,0.0085
9238,84.87,[2023-04-23 18:11:39 119],0.0044,0.0051
