,seconds,date,hr
114586,"1045,302",[2023-04-23 18:27:39 551],75.0
114646,"1045,802",[2023-04-23 18:27:40 051],75.0
114703,"1046,302",[2023-04-23 18:27:40 551],75.0
114761,"1046,802",[2023-04-23 18:27:41 051],75.0
114817,"1047,302",[2023-04-23 18:27:41 551],77.0
114876,"1047,802",[2023-04-23 18:27:42 051],79.0
114930,"1048,302",[2023-04-23 18:27:42 551],87.0
115491,"1053,302",[2023-04-23 18:27:47 551],92.0
115889,"1056,802",[2023-04-23 18:27:51 051],99.0
116173,"1059,302",[2023-04-23 18:27:53 551],100.0
116227,"1059,802",[2023-04-23 18:27:54 051],100.0
116283,"1060,302",[2023-04-23 18:27:54 551],100.0
116340,"1060,802",[2023-04-23 18:27:55 051],99.0
116396,"1061,302",[2023-04-23 18:27:55 551],99.0
116453,"1061,802",[2023-04-23 18:27:56 051],99.0
116510,"1062,302",[2023-04-23 18:27:56 551],99.0
116567,"1062,802",[2023-04-23 18:27:57 051],99.0
116621,"1063,302",[2023-04-23 18:27:57 551],99.0
116676,"1063,802",[2023-04-23 18:27:58 051],99.0
116733,"1064,302",[2023-04-23 18:27:58 551],99.0
116789,"1064,802",[2023-04-23 18:27:59 051],99.0
116846,"1065,302",[2023-04-23 18:27:59 551],99.0
116904,"1065,802",[2023-04-23 18:28:00 051],99.0
116959,"1066,302",[2023-04-23 18:28:00 551],99.0
117016,"1066,802",[2023-04-23 18:28:01 051],99.0
117070,"1067,302",[2023-04-23 18:28:01 551],98.0
117128,"1067,802",[2023-04-23 18:28:02 051],98.0
117185,"1068,302",[2023-04-23 18:28:02 551],97.0
117242,"1068,802",[2023-04-23 18:28:03 051],97.0
117298,"1069,302",[2023-04-23 18:28:03 551],97.0
117356,"1069,802",[2023-04-23 18:28:04 051],97.0
117412,"1070,302",[2023-04-23 18:28:04 551],97.0
117466,"1070,802",[2023-04-23 18:28:05 051],97.0
117522,"1071,302",[2023-04-23 18:28:05 551],97.0
117579,"1071,802",[2023-04-23 18:28:06 051],97.0
117634,"1072,302",[2023-04-23 18:28:06 551],97.0
117692,"1072,802",[2023-04-23 18:28:07 051],97.0
117749,"1073,302",[2023-04-23 18:28:07 551],97.0
117807,"1073,802",[2023-04-23 18:28:08 051],96.0
117858,"1074,302",[2023-04-23 18:28:08 551],96.0
117915,"1074,802",[2023-04-23 18:28:09 051],94.0
117972,"1075,302",[2023-04-23 18:28:09 551],93.0
118029,"1075,802",[2023-04-23 18:28:10 051],92.0
118085,"1076,302",[2023-04-23 18:28:10 551],91.0
118142,"1076,802",[2023-04-23 18:28:11 051],91.0
118199,"1077,302",[2023-04-23 18:28:11 551],91.0
118255,"1077,802",[2023-04-23 18:28:12 051],90.0
118312,"1078,302",[2023-04-23 18:28:12 551],88.0
118367,"1078,802",[2023-04-23 18:28:13 051],87.0
118420,"1079,302",[2023-04-23 18:28:13 551],86.0
118477,"1079,802",[2023-04-23 18:28:14 051],86.0
118534,"1080,302",[2023-04-23 18:28:14 551],85.0
118591,"1080,802",[2023-04-23 18:28:15 051],85.0
118647,"1081,302",[2023-04-23 18:28:15 551],85.0
118705,"1081,802",[2023-04-23 18:28:16 051],85.0
118761,"1082,302",[2023-04-23 18:28:16 551],84.0
118814,"1082,802",[2023-04-23 18:28:17 051],83.0
118871,"1083,302",[2023-04-23 18:28:17 551],83.0
118928,"1083,802",[2023-04-23 18:28:18 051],82.0
118984,"1084,302",[2023-04-23 18:28:18 551],82.0
119042,"1084,802",[2023-04-23 18:28:19 051],82.0
119098,"1085,302",[2023-04-23 18:28:19 551],82.0
119155,"1085,802",[2023-04-23 18:28:20 051],83.0
119210,"1086,302",[2023-04-23 18:28:20 551],83.0
119264,"1086,802",[2023-04-23 18:28:21 051],84.0
119320,"1087,302",[2023-04-23 18:28:21 551],84.0
119378,"1087,802",[2023-04-23 18:28:22 051],84.0
119434,"1088,302",[2023-04-23 18:28:22 551],84.0
119491,"1088,802",[2023-04-23 18:28:23 051],83.0
119548,"1089,302",[2023-04-23 18:28:23 551],83.0
119604,"1089,802",[2023-04-23 18:28:24 051],82.0
119657,"1090,302",[2023-04-23 18:28:24 551],82.0
119714,"1090,802",[2023-04-23 18:28:25 051],82.0
119771,"1091,302",[2023-04-23 18:28:25 551],81.0
119827,"1091,802",[2023-04-23 18:28:26 051],81.0
