, Start, End, Event,Is On Court
0,0,0, FIRST_HALF_START,0
1,0,36, FOUL_RECEIVE,0
2,36,45, POST_OUT,0
3,45,55, LOST_BALL,0
4,55,84, FOUL_RECEIVE,0
5,84,96, FOUL_RECEIVE,0
6,96,114, GOAL,0
7,114,131, 7M_PROVOKE,0
8,131,142, SAVE,0
9,142,171, LOST_BALL,0
10,171,182, SAVE,0
11,182,187, GOAL,0
12,187,217, SAVE,0
13,217,255, POST_OUT,0
14,255,271, GOAL,0
15,271,293, LOST_BALL,0
16,293,305, FOUL_RECEIVE,0
17,305,325, SAVE,0
18,325,354, LOST_BALL,0
19,354,366, LOST_BALL,0
20,366,394, SAVE,0
21,394,402, LOST_BALL,0
22,402,431, FOUL_RECEIVE,0
23,431,457, 7M_PROVOKE_SUSPENSION,0
24,457,457, 2_MIN,0
25,457,461, GOAL,0
26,461,489, GOAL,0
27,489,503, GOAL,0
28,503,527, FOUL_RECEIVE,0
29,527,542, FOUL_RECEIVE,0
30,542,561, FOUL_RECEIVE,0
31,561,587, GOAL,0
32,587,606, SAVE,0
33,606,638, GOAL,0
34,638,672, GOAL,0
35,672,700, FOUL_RECEIVE,0
36,700,722, FOUL_RECEIVE,0
37,722,733, SAVE,0
38,733,758, FOUL_RECEIVE,0
39,758,766, POST_OUT,0
40,766,800, GOAL,0
41,800,823, FOUL_RECEIVE,0
42,823,832, SAVE,0
43,832,844, GOAL,0
44,844,888, FOUL_RECEIVE,0
45,888,919, SAVE,0
46,919,929, LOST_BALL,0
47,929,956, LOST_BALL,0
48,956,961, GOAL,0
49,961,985, LOST_BALL,0
50,985,1028, SAVE,1
51,1028,1056, GOAL,1
52,1056,1072, GOAL,1
53,1072,1103, FOUL_RECEIVE,1
54,1103,1109, POST_OUT,1
55,1109,1118, SAVE,1
56,1118,1154, FOUL_RECEIVE,1
57,1154,1154,TIMEOUT,0
58,1154,1177, SAVE,1
59,1177,1193, GOAL,1
60,1193,1215, FOUL_RECEIVE,1
61,1215,1227, SAVE,1
62,1227,1245, 7M_PROVOKE_SUSPENSION,1
63,1245,1245, 2_MIN,1
64,1245,1248, GOAL,1
65,1248,1280, GOAL,1
66,1280,1301, GOAL,1
67,1301,1333, FOUL_RECEIVE,1
68,1333,1345, SAVE,1
69,1345,1385, SAVE,1
70,1385,1415, GOAL,1
71,1415,1428, GOAL,1
72,1428,1443, FOUL_RECEIVE,1
73,1443,1453, GOAL,1
74,1453,1462, GOAL,1
75,1462,1517, FOUL_RECEIVE,1
76,1517,1529, LOST_BALL,1
77,1529,1559, POST_OUT,1
78,1559,1591, FOUL_RECEIVE,1
79,1591,1601, GOAL,1
80,1601,1608, GOAL,1
81,1608,1644, GOAL,1
82,1644,1683, FOUL_RECEIVE,1
83,1683,1694, GOAL,1
84,1694,1725, 7M_PROVOKE,1
85,1725,1775, POST_OUT,1
86,1775,1775,TIMEOUT,0
87,1175,1800, GOAL,1
88,1800,1800, FIRST_HALF_END,1
89,1800,2700,,0
90,2700,2700, SECOND_HALF_START,0
91,2695,2718, LOST_BALL,0
92,2718,2726, FOUL_RECEIVE,0
93,2726,2765, LOST_BALL,0
94,2765,2792, LOST_BALL,0
95,2792,2802, LOST_BALL,0
96,2802,2831, GOAL,0
97,2831,2839, LOST_BALL,0
98,2839,2855, GOAL,0
99,2855,2855,TIMEOUT,0
100,2855,2872, LOST_BALL,0
101,2872,2880, LOST_BALL,0
102,2880,2906, GOAL,0
103,2906,2918, FOUL_RECEIVE,0
104,2918,2942, LOST_BALL,0
105,2942,2970, LOST_BALL,0
106,2970,3000, FOUL_RECEIVE,0
107,3000,3017, LOST_BALL,0
108,3017,3026, GOAL,0
109,3026,3059, GOAL,0
