,seconds,date,hr,activity_load_2d,activity_load_3d,IsOnCourt
0,2962.302,[2023-04-23 18:59:36 551],87.0,0.016,0.0193,0
1,2963.302,[2023-04-23 18:59:37 551],86.0,0.0144,0.0164,0
2,2964.302,[2023-04-23 18:59:38 551],86.0,0.0105,0.0125,0
3,2965.302,[2023-04-23 18:59:39 551],85.0,0.0076,0.0091,0
4,2966.302,[2023-04-23 18:59:40 551],86.0,0.0066,0.0075,0
5,2967.302,[2023-04-23 18:59:41 551],86.0,0.0113,0.0129,0
6,2968.302,[2023-04-23 18:59:42 551],86.0,0.0033,0.0038,0
7,2969.302,[2023-04-23 18:59:43 551],85.0,0.0022,0.0027,0
8,2970.302,[2023-04-23 18:59:44 551],84.0,0.002,0.0023,0
9,2971.302,[2023-04-23 18:59:45 551],84.0,0.0019,0.0022,0
10,2972.302,[2023-04-23 18:59:46 551],83.0,0.0023,0.0031,0
11,2973.302,[2023-04-23 18:59:47 551],84.0,0.0028,0.0044,0
12,2974.302,[2023-04-23 18:59:48 551],85.0,0.0028,0.0035,0
13,2975.302,[2023-04-23 18:59:49 551],87.0,0.0023,0.0029,0
14,2976.302,[2023-04-23 18:59:50 551],89.0,0.0022,0.0026,0
15,2977.302,[2023-04-23 18:59:51 551],90.0,0.0021,0.0025,0
16,2978.302,[2023-04-23 18:59:52 551],90.0,0.0067,0.0156,0
17,2979.302,[2023-04-23 18:59:53 551],88.0,0.0262,0.0642,0
18,2980.302,[2023-04-23 18:59:54 551],85.0,0.0257,0.0549,0
19,2981.302,[2023-04-23 18:59:55 551],84.0,0.0262,0.0447,0
20,2982.302,[2023-04-23 18:59:56 551],83.0,0.0287,0.0353,0
21,2983.302,[2023-04-23 18:59:57 551],83.0,0.0182,0.0252,0
22,2984.302,[2023-04-23 18:59:58 551],84.0,0.0174,0.0223,0
23,2985.302,[2023-04-23 18:59:59 551],87.0,0.0165,0.0252,0
24,2986.302,[2023-04-23 19:00:00 551],89.0,0.0111,0.0169,0
25,2987.302,[2023-04-23 19:00:01 551],92.0,0.0136,0.0196,0
26,2988.302,[2023-04-23 19:00:02 551],94.0,0.0094,0.0186,0
27,2989.302,[2023-04-23 19:00:03 551],93.0,0.0125,0.0203,0
28,2990.302,[2023-04-23 19:00:04 551],94.0,0.0129,0.0252,0
29,2991.302,[2023-04-23 19:00:05 551],95.0,0.0058,0.0074,0
30,2992.302,[2023-04-23 19:00:06 551],97.0,0.0054,0.0087,0
31,2993.302,[2023-04-23 19:00:07 551],98.0,0.0033,0.0045,0
32,2994.302,[2023-04-23 19:00:08 551],99.0,0.0045,0.0069,0
33,2995.302,[2023-04-23 19:00:09 551],99.0,0.0064,0.0104,0
34,2996.302,[2023-04-23 19:00:10 551],99.0,0.0066,0.0092,0
35,2997.302,[2023-04-23 19:00:11 551],99.0,0.0049,0.0074,0
36,2998.302,[2023-04-23 19:00:12 551],99.0,0.0025,0.0033,0
37,2999.302,[2023-04-23 19:00:13 551],99.0,0.0032,0.0056,0
38,3000.302,[2023-04-23 19:00:14 551],99.0,0.0042,0.0078,0
39,3001.302,[2023-04-23 19:00:15 551],99.0,0.0048,0.0079,0
40,3002.302,[2023-04-23 19:00:16 551],99.0,0.0034,0.0042,0
41,3003.302,[2023-04-23 19:00:17 551],99.0,0.0022,0.0028,0
42,3004.302,[2023-04-23 19:00:18 551],99.0,0.0041,0.0059,0
43,3005.302,[2023-04-23 19:00:19 551],99.0,0.0035,0.0054,0
44,3006.302,[2023-04-23 19:00:20 551],99.0,0.0047,0.0075,0
45,3007.302,[2023-04-23 19:00:21 551],99.0,0.004,0.0063,0
46,3008.302,[2023-04-23 19:00:22 551],99.0,0.0036,0.0049,0
