,seconds,date,activity_load_2d,activity_load_3d
79,1.79,[2023-09-08 19:18:01 442],0.0088,0.0097
185,2.79,[2023-09-08 19:18:02 442],0.0018,0.0025
295,3.79,[2023-09-08 19:18:03 442],0.0018,0.0029
406,4.79,[2023-09-08 19:18:04 442],0.0042,0.0051
517,5.79,[2023-09-08 19:18:05 442],0.0031,0.0041
623,6.79,[2023-09-08 19:18:06 442],0.0021,0.0031
733,7.79,[2023-09-08 19:18:07 442],0.0017,0.0027
844,8.79,[2023-09-08 19:18:08 442],0.004,0.005
955,9.79,[2023-09-08 19:18:09 442],0.0017,0.0026
1065,10.79,[2023-09-08 19:18:10 442],0.0019,0.003
1172,11.79,[2023-09-08 19:18:11 442],0.002,0.0028
1283,12.79,[2023-09-08 19:18:12 442],0.002,0.0028
1394,13.79,[2023-09-08 19:18:13 442],0.0028,0.0035
1501,14.79,[2023-09-08 19:18:14 442],0.0022,0.003
1610,15.79,[2023-09-08 19:18:15 442],0.0018,0.0028
1721,16.79,[2023-09-08 19:18:16 442],0.0046,0.0057
1831,17.79,[2023-09-08 19:18:17 442],0.0024,0.0032
1937,18.79,[2023-09-08 19:18:18 442],0.0019,0.0027
2048,19.79,[2023-09-08 19:18:19 442],0.0072,0.0081
2159,20.79,[2023-09-08 19:18:20 442],0.0027,0.0036
2269,21.79,[2023-09-08 19:18:21 442],0.002,0.0025
2377,22.79,[2023-09-08 19:18:22 442],0.0058,0.0066
2488,23.79,[2023-09-08 19:18:23 442],0.0033,0.004
2599,24.79,[2023-09-08 19:18:24 442],0.0025,0.0034
2707,25.79,[2023-09-08 19:18:25 442],0.0025,0.0033
2816,26.79,[2023-09-08 19:18:26 442],0.0277,0.029
2927,27.79,[2023-09-08 19:18:27 442],0.0021,0.003
3037,28.79,[2023-09-08 19:18:28 442],0.0363,0.0542
3143,29.79,[2023-09-08 19:18:29 442],0.1293,0.1803
3254,30.79,[2023-09-08 19:18:30 442],0.0383,0.0467
3365,31.79,[2023-09-08 19:18:31 442],0.0141,0.0182
3475,32.79,[2023-09-08 19:18:32 442],0.0563,0.0652
3583,33.79,[2023-09-08 19:18:33 442],0.038,0.0449
3694,34.79,[2023-09-08 19:18:34 442],0.0319,0.04
3805,35.79,[2023-09-08 19:18:35 442],0.0178,0.0223
3914,36.79,[2023-09-08 19:18:36 442],0.0209,0.0269
4024,37.79,[2023-09-08 19:18:37 442],0.0236,0.0313
4135,38.79,[2023-09-08 19:18:38 442],0.0063,0.0078
4246,39.79,[2023-09-08 19:18:39 442],0.0049,0.006
4353,40.79,[2023-09-08 19:18:40 442],0.0032,0.0038
4463,41.79,[2023-09-08 19:18:41 442],0.0166,0.021
4574,42.79,[2023-09-08 19:18:42 442],0.0269,0.0358
4685,43.79,[2023-09-08 19:18:43 442],0.0075,0.0103
4791,44.79,[2023-09-08 19:18:44 442],0.011,0.014
4901,45.79,[2023-09-08 19:18:45 442],0.0087,0.0116
5012,46.79,[2023-09-08 19:18:46 442],0.0043,0.005
5123,47.79,[2023-09-08 19:18:47 442],0.0042,0.0051
5233,48.79,[2023-09-08 19:18:48 442],0.007,0.0081
5341,49.79,[2023-09-08 19:18:49 442],0.0113,0.0184
5452,50.79,[2023-09-08 19:18:50 442],0.0094,0.0138
5562,51.79,[2023-09-08 19:18:51 442],0.0109,0.0145
5670,52.79,[2023-09-08 19:18:52 442],0.0379,0.0453
5780,53.79,[2023-09-08 19:18:53 442],0.0283,0.0323
5891,54.79,[2023-09-08 19:18:54 442],0.0674,0.0832
6001,55.79,[2023-09-08 19:18:55 442],0.0561,0.0729
6106,56.79,[2023-09-08 19:18:56 442],0.0566,0.0674
6217,57.79,[2023-09-08 19:18:57 442],0.0228,0.0286
6328,58.79,[2023-09-08 19:18:58 442],0.0535,0.0614
6437,59.79,[2023-09-08 19:18:59 442],0.0291,0.0347
6544,60.79,[2023-09-08 19:19:00 442],0.0914,0.1201
6655,61.79,[2023-09-08 19:19:01 442],0.0995,0.1352
6783,62.948,[2023-09-08 19:19:02 600],0.074,0.0902
6891,63.948,[2023-09-08 19:19:03 600],0.0608,0.067
7002,64.948,[2023-09-08 19:19:04 600],0.0226,0.0263
7113,65.948,[2023-09-08 19:19:05 600],0.0313,0.0368
7223,66.948,[2023-09-08 19:19:06 600],0.0543,0.0692
7330,67.948,[2023-09-08 19:19:07 600],0.1213,0.1441
7441,68.948,[2023-09-08 19:19:08 600],0.0487,0.0623
7552,69.948,[2023-09-08 19:19:09 600],0.019,0.0221
7663,70.948,[2023-09-08 19:19:10 600],0.0619,0.0772
7773,71.948,[2023-09-08 19:19:11 600],0.0579,0.0756
7886,72.948,[2023-09-08 19:19:12 600],0.0087,0.0109
7999,73.948,[2023-09-08 19:19:13 600],0.0041,0.0053
8108,74.948,[2023-09-08 19:19:14 600],0.0387,0.0436
8221,75.948,[2023-09-08 19:19:15 600],0.005,0.0059
8335,76.948,[2023-09-08 19:19:16 600],0.057,0.0676
8450,77.948,[2023-09-08 19:19:17 600],0.0461,0.0588
8560,78.948,[2023-09-08 19:19:18 600],0.0687,0.1329
8674,79.948,[2023-09-08 19:19:19 600],0.1578,0.1943
8789,80.948,[2023-09-08 19:19:20 600],0.0269,0.0405
8902,81.948,[2023-09-08 19:19:21 600],0.089,0.1122
9011,82.948,[2023-09-08 19:19:22 600],0.0123,0.0171
9124,83.948,[2023-09-08 19:19:23 600],0.0203,0.0252
9237,84.948,[2023-09-08 19:19:24 600],0.024,0.029
9349,85.948,[2023-09-08 19:19:25 600],0.0097,0.0151
9459,86.948,[2023-09-08 19:19:26 600],0.0167,0.0219
9571,87.948,[2023-09-08 19:19:27 600],0.0246,0.0344
9682,88.948,[2023-09-08 19:19:28 600],0.0237,0.0391
9792,89.948,[2023-09-08 19:19:29 600],0.0071,0.0113
9900,90.948,[2023-09-08 19:19:30 600],0.013,0.0188
10011,91.948,[2023-09-08 19:19:31 600],0.0099,0.0145
10121,92.948,[2023-09-08 19:19:32 600],0.0115,0.0171
10232,93.948,[2023-09-08 19:19:33 600],0.0088,0.0112
10340,94.948,[2023-09-08 19:19:34 600],0.015,0.019
10451,95.948,[2023-09-08 19:19:35 600],0.0122,0.0165
10561,96.948,[2023-09-08 19:19:36 600],0.0173,0.0238
10671,97.948,[2023-09-08 19:19:37 600],0.0212,0.0262
10782,98.948,[2023-09-08 19:19:38 600],0.0119,0.0155
10894,99.948,[2023-09-08 19:19:39 600],0.0114,0.0182
11005,100.948,[2023-09-08 19:19:40 600],0.0057,0.0087
11112,101.948,[2023-09-08 19:19:41 600],0.0063,0.0093
11224,102.948,[2023-09-08 19:19:42 600],0.0083,0.0128
11336,103.948,[2023-09-08 19:19:43 600],0.0066,0.0094
11448,104.948,[2023-09-08 19:19:44 600],0.0281,0.0344
11557,105.948,[2023-09-08 19:19:45 600],0.0454,0.0705
11668,106.948,[2023-09-08 19:19:46 600],0.0832,0.1476
11779,107.948,[2023-09-08 19:19:47 600],0.0168,0.0243
11888,108.948,[2023-09-08 19:19:48 600],0.016,0.0252
11998,109.948,[2023-09-08 19:19:49 600],0.0125,0.0188
12109,110.948,[2023-09-08 19:19:50 600],0.0115,0.0159
12220,111.948,[2023-09-08 19:19:51 600],0.0111,0.0158
12327,112.948,[2023-09-08 19:19:52 600],0.0093,0.0153
12438,113.948,[2023-09-08 19:19:53 600],0.0099,0.0175
