,seconds,date,hr
8771,"80,802",[2023-09-08 19:19:20 454],74.0
8829,"81,302",[2023-09-08 19:19:20 954],74.0
8885,"81,802",[2023-09-08 19:19:21 454],74.0
8938,"82,302",[2023-09-08 19:19:21 954],75.0
8993,"82,802",[2023-09-08 19:19:22 454],75.0
9051,"83,302",[2023-09-08 19:19:22 954],75.0
9107,"83,802",[2023-09-08 19:19:23 454],74.0
9163,"84,302",[2023-09-08 19:19:23 954],74.0
9220,"84,802",[2023-09-08 19:19:24 454],73.0
9278,"85,302",[2023-09-08 19:19:24 954],73.0
9333,"85,802",[2023-09-08 19:19:25 454],73.0
9390,"86,302",[2023-09-08 19:19:25 954],73.0
9443,"86,802",[2023-09-08 19:19:26 454],73.0
9498,"87,302",[2023-09-08 19:19:26 954],73.0
9554,"87,802",[2023-09-08 19:19:27 454],73.0
9610,"88,302",[2023-09-08 19:19:27 954],73.0
9666,"88,802",[2023-09-08 19:19:28 454],73.0
9721,"89,302",[2023-09-08 19:19:28 954],73.0
9776,"89,802",[2023-09-08 19:19:29 454],73.0
9832,"90,302",[2023-09-08 19:19:29 954],73.0
9883,"90,802",[2023-09-08 19:19:30 454],73.0
9939,"91,302",[2023-09-08 19:19:30 954],73.0
9994,"91,802",[2023-09-08 19:19:31 454],73.0
10050,"92,302",[2023-09-08 19:19:31 954],73.0
10105,"92,802",[2023-09-08 19:19:32 454],73.0
10161,"93,302",[2023-09-08 19:19:32 954],73.0
10216,"93,802",[2023-09-08 19:19:33 454],73.0
10270,"94,302",[2023-09-08 19:19:33 954],73.0
10434,"95,802",[2023-09-08 19:19:35 454],73.0
10490,"96,302",[2023-09-08 19:19:35 954],73.0
10545,"96,802",[2023-09-08 19:19:36 454],73.0
10601,"97,302",[2023-09-08 19:19:36 954],73.0
10656,"97,802",[2023-09-08 19:19:37 454],73.0
10711,"98,302",[2023-09-08 19:19:37 954],73.0
10765,"98,802",[2023-09-08 19:19:38 454],73.0
10822,"99,302",[2023-09-08 19:19:38 954],73.0
10877,"99,802",[2023-09-08 19:19:39 454],73.0
10933,"100,302",[2023-09-08 19:19:39 954],73.0
11651,"106,802",[2023-09-08 19:19:46 454],73.0
11707,"107,302",[2023-09-08 19:19:46 954],73.0
11762,"107,802",[2023-09-08 19:19:47 454],73.0
11818,"108,302",[2023-09-08 19:19:47 954],73.0
