,seconds,date,activity_load_2d,activity_load_3d
72,1.765,[2023-09-08 19:18:54 902],0.005,0.0055
181,2.765,[2023-09-08 19:18:55 902],0.0019,0.0022
291,3.765,[2023-09-08 19:18:56 902],0.0022,0.0025
402,4.765,[2023-09-08 19:18:57 902],0.002,0.0023
513,5.765,[2023-09-08 19:18:58 902],0.0022,0.0025
621,6.765,[2023-09-08 19:18:59 902],0.0018,0.0021
731,7.765,[2023-09-08 19:19:00 902],0.0021,0.0023
842,8.765,[2023-09-08 19:19:01 902],0.0023,0.0026
952,9.765,[2023-09-08 19:19:02 902],0.0022,0.0025
1060,10.765,[2023-09-08 19:19:03 902],0.0024,0.0026
1171,11.765,[2023-09-08 19:19:04 902],0.0023,0.0026
1282,12.765,[2023-09-08 19:19:05 902],0.0022,0.0025
1389,13.765,[2023-09-08 19:19:06 902],0.0026,0.0029
1499,14.765,[2023-09-08 19:19:07 902],0.0022,0.0024
1610,15.765,[2023-09-08 19:19:08 902],0.0024,0.0027
1721,16.765,[2023-09-08 19:19:09 902],0.0025,0.0027
1829,17.765,[2023-09-08 19:19:10 902],0.0019,0.0023
1939,18.765,[2023-09-08 19:19:11 902],0.002,0.0023
2049,19.765,[2023-09-08 19:19:12 902],0.0021,0.0025
2159,20.765,[2023-09-08 19:19:13 902],0.0022,0.0025
2267,21.765,[2023-09-08 19:19:14 902],0.0022,0.0025
2377,22.765,[2023-09-08 19:19:15 902],0.0023,0.0026
2487,23.765,[2023-09-08 19:19:16 902],0.0017,0.002
2594,24.765,[2023-09-08 19:19:17 902],0.0018,0.0022
2704,25.765,[2023-09-08 19:19:18 902],0.0017,0.0021
2814,26.765,[2023-09-08 19:19:19 902],0.0017,0.0021
2925,27.765,[2023-09-08 19:19:20 902],0.0015,0.0019
3033,28.765,[2023-09-08 19:19:21 902],0.0018,0.002
3144,29.765,[2023-09-08 19:19:22 902],0.0018,0.0022
3254,30.765,[2023-09-08 19:19:23 902],0.0021,0.0024
3365,31.765,[2023-09-08 19:19:24 902],0.0017,0.0021
3476,32.765,[2023-09-08 19:19:25 902],0.0018,0.0021
3582,33.765,[2023-09-08 19:19:26 902],0.0016,0.0019
3692,34.765,[2023-09-08 19:19:27 902],0.0021,0.0023
3803,35.765,[2023-09-08 19:19:28 902],0.0018,0.0023
3911,36.765,[2023-09-08 19:19:29 902],0.0023,0.0026
4019,37.765,[2023-09-08 19:19:30 902],0.0033,0.0036
4130,38.765,[2023-09-08 19:19:31 902],0.0077,0.008
4241,39.765,[2023-09-08 19:19:32 902],0.0063,0.0065
4348,40.765,[2023-09-08 19:19:33 902],0.0043,0.0045
4458,41.765,[2023-09-08 19:19:34 902],0.0238,0.0283
4569,42.765,[2023-09-08 19:19:35 902],0.059,0.0726
4680,43.765,[2023-09-08 19:19:36 902],0.0414,0.0484
4787,44.765,[2023-09-08 19:19:37 902],0.0176,0.0222
4897,45.765,[2023-09-08 19:19:38 902],0.0162,0.0207
5008,46.765,[2023-09-08 19:19:39 902],0.022,0.0274
5116,47.765,[2023-09-08 19:19:40 902],0.0144,0.021
5226,48.765,[2023-09-08 19:19:41 902],0.0326,0.0405
5337,49.765,[2023-09-08 19:19:42 902],0.0272,0.0325
5448,50.765,[2023-09-08 19:19:43 902],0.0624,0.0791
5555,51.765,[2023-09-08 19:19:44 902],0.0615,0.0728
5665,52.765,[2023-09-08 19:19:45 902],0.0276,0.0352
5776,53.765,[2023-09-08 19:19:46 902],0.021,0.0259
5887,54.765,[2023-09-08 19:19:47 902],0.0196,0.0232
5994,55.765,[2023-09-08 19:19:48 902],0.0211,0.0255
6104,56.765,[2023-09-08 19:19:49 902],0.015,0.0199
6214,57.765,[2023-09-08 19:19:50 902],0.0185,0.0245
6323,58.765,[2023-09-08 19:19:51 902],0.022,0.0246
6433,59.765,[2023-09-08 19:19:52 902],0.0324,0.0415
6543,60.765,[2023-09-08 19:19:53 902],0.0222,0.0338
6653,61.765,[2023-09-08 19:19:54 902],0.0232,0.0287
6777,62.92,[2023-09-08 19:19:56 057],0.054,0.0646
6888,63.92,[2023-09-08 19:19:57 057],0.0278,0.0328
6999,64.92,[2023-09-08 19:19:58 057],0.0237,0.0337
7109,65.92,[2023-09-08 19:19:59 057],0.0258,0.0305
7216,66.92,[2023-09-08 19:20:00 057],0.0113,0.0158
7327,67.92,[2023-09-08 19:20:01 057],0.0194,0.0234
7438,68.92,[2023-09-08 19:20:02 057],0.0438,0.0543
7548,69.92,[2023-09-08 19:20:03 057],0.0326,0.0396
7656,70.92,[2023-09-08 19:20:04 057],0.0712,0.0829
7766,71.92,[2023-09-08 19:20:05 057],0.0683,0.0857
7877,72.92,[2023-09-08 19:20:06 057],0.0065,0.0085
7987,73.92,[2023-09-08 19:20:07 057],0.0044,0.0053
8095,74.92,[2023-09-08 19:20:08 057],0.0041,0.0062
8206,75.92,[2023-09-08 19:20:09 057],0.0291,0.0376
8317,76.92,[2023-09-08 19:20:10 057],0.047,0.0623
8427,77.92,[2023-09-08 19:20:11 057],0.1055,0.1282
8533,78.92,[2023-09-08 19:20:12 057],0.1007,0.1269
8644,79.92,[2023-09-08 19:20:13 057],0.1194,0.1483
8755,80.92,[2023-09-08 19:20:14 057],0.163,0.244
8863,81.92,[2023-09-08 19:20:15 057],0.113,0.1552
8972,82.92,[2023-09-08 19:20:16 057],0.0148,0.0271
9083,83.92,[2023-09-08 19:20:17 057],0.0156,0.031
9194,84.92,[2023-09-08 19:20:18 057],0.0487,0.0745
9299,85.92,[2023-09-08 19:20:19 057],0.0114,0.0182
9410,86.92,[2023-09-08 19:20:20 057],0.0222,0.0358
9522,87.92,[2023-09-08 19:20:21 057],0.032,0.0456
9634,88.92,[2023-09-08 19:20:22 057],0.0222,0.0398
9744,89.92,[2023-09-08 19:20:23 057],0.0131,0.0239
9857,90.92,[2023-09-08 19:20:24 057],0.008,0.0114
9971,91.92,[2023-09-08 19:20:25 057],0.0068,0.0112
10084,92.92,[2023-09-08 19:20:26 057],0.0025,0.0033
10194,93.92,[2023-09-08 19:20:27 057],0.0149,0.0175
10307,94.92,[2023-09-08 19:20:28 057],0.0304,0.042
10421,95.92,[2023-09-08 19:20:29 057],0.0194,0.0245
10530,96.92,[2023-09-08 19:20:30 057],0.0094,0.0124
10642,97.92,[2023-09-08 19:20:31 057],0.0155,0.0209
10755,98.92,[2023-09-08 19:20:32 057],0.0077,0.0098
10869,99.92,[2023-09-08 19:20:33 057],0.0135,0.0175
10977,100.92,[2023-09-08 19:20:34 057],0.0109,0.0149
11092,101.92,[2023-09-08 19:20:35 057],0.0118,0.0165
11205,102.92,[2023-09-08 19:20:36 057],0.014,0.0183
11319,103.92,[2023-09-08 19:20:37 057],0.0287,0.0382
11428,104.92,[2023-09-08 19:20:38 057],0.007,0.0084
11543,105.92,[2023-09-08 19:20:39 057],0.0057,0.0078
11656,106.92,[2023-09-08 19:20:40 057],0.0077,0.0094
11770,107.92,[2023-09-08 19:20:41 057],0.0092,0.0105
11879,108.92,[2023-09-08 19:20:42 057],0.0077,0.0105
11992,109.92,[2023-09-08 19:20:43 057],0.0051,0.0061
12107,110.92,[2023-09-08 19:20:44 057],0.0051,0.0059
12219,111.92,[2023-09-08 19:20:45 057],0.0053,0.0061
12330,112.92,[2023-09-08 19:20:46 057],0.0049,0.006
12443,113.92,[2023-09-08 19:20:47 057],0.0045,0.0057
12557,114.92,[2023-09-08 19:20:48 057],0.0046,0.0054
12670,115.92,[2023-09-08 19:20:49 057],0.0051,0.0058
12779,116.92,[2023-09-08 19:20:50 057],0.0041,0.0049
12894,117.92,[2023-09-08 19:20:51 057],0.0047,0.0055
13007,118.92,[2023-09-08 19:20:52 057],0.0055,0.0063
13118,119.92,[2023-09-08 19:20:53 057],0.0053,0.0063
13230,120.92,[2023-09-08 19:20:54 057],0.0055,0.0066
13345,121.92,[2023-09-08 19:20:55 057],0.0052,0.0059
13460,122.92,[2023-09-08 19:20:56 057],0.0038,0.0043
13587,124.082,[2023-09-08 19:20:57 219],0.0133,0.0155
13700,125.082,[2023-09-08 19:20:58 219],0.0116,0.0161
13813,126.082,[2023-09-08 19:20:59 219],0.012,0.0152
13925,127.082,[2023-09-08 19:21:00 219],0.0057,0.008
14035,128.082,[2023-09-08 19:21:01 219],0.0082,0.0122
14148,129.082,[2023-09-08 19:21:02 219],0.0098,0.0138
14260,130.082,[2023-09-08 19:21:03 219],0.0098,0.0133
14374,131.082,[2023-09-08 19:21:04 219],0.0074,0.0101
14486,132.082,[2023-09-08 19:21:05 219],0.0063,0.0079
14600,133.082,[2023-09-08 19:21:06 219],0.0081,0.0132
14714,134.082,[2023-09-08 19:21:07 219],0.0067,0.0097
14824,135.082,[2023-09-08 19:21:08 219],0.0072,0.0107
14938,136.082,[2023-09-08 19:21:09 219],0.007,0.0104
15051,137.082,[2023-09-08 19:21:10 219],0.0051,0.0067
15165,138.082,[2023-09-08 19:21:11 219],0.0044,0.0054
15275,139.082,[2023-09-08 19:21:12 219],0.0043,0.0064
15388,140.082,[2023-09-08 19:21:13 219],0.0041,0.0056
15502,141.082,[2023-09-08 19:21:14 219],0.0052,0.0065
15613,142.082,[2023-09-08 19:21:15 219],0.0076,0.0099
15725,143.082,[2023-09-08 19:21:16 219],0.0123,0.019
15837,144.082,[2023-09-08 19:21:17 219],0.0064,0.0097
15951,145.082,[2023-09-08 19:21:18 219],0.0071,0.0106
16065,146.082,[2023-09-08 19:21:19 219],0.01,0.0151
16173,147.082,[2023-09-08 19:21:20 219],0.0078,0.0124
16287,148.082,[2023-09-08 19:21:21 219],0.0072,0.0129
16400,149.082,[2023-09-08 19:21:22 219],0.0073,0.0108
16513,150.082,[2023-09-08 19:21:23 219],0.0072,0.0107
16622,151.082,[2023-09-08 19:21:24 219],0.0082,0.0124
16736,152.082,[2023-09-08 19:21:25 219],0.0192,0.0391
16850,153.082,[2023-09-08 19:21:26 219],0.0215,0.0442
16960,154.082,[2023-09-08 19:21:27 219],0.0168,0.0256
17070,155.082,[2023-09-08 19:21:28 219],0.0139,0.0229
17185,156.082,[2023-09-08 19:21:29 219],0.0167,0.0278
17299,157.082,[2023-09-08 19:21:30 219],0.0172,0.0268
17408,158.082,[2023-09-08 19:21:31 219],0.0109,0.0173
