,seconds,date,hr
10684,"98,302",[2023-09-08 19:20:31 439],80.0
10741,"98,802",[2023-09-08 19:20:31 939],80.0
10799,"99,302",[2023-09-08 19:20:32 439],81.0
10856,"99,802",[2023-09-08 19:20:32 939],82.0
10910,"100,302",[2023-09-08 19:20:33 439],84.0
10964,"100,802",[2023-09-08 19:20:33 939],84.0
11021,"101,302",[2023-09-08 19:20:34 439],86.0
11077,"101,802",[2023-09-08 19:20:34 939],86.0
11134,"102,302",[2023-09-08 19:20:35 439],88.0
11191,"102,802",[2023-09-08 19:20:35 939],88.0
11249,"103,302",[2023-09-08 19:20:36 439],89.0
11305,"103,802",[2023-09-08 19:20:36 939],88.0
11357,"104,302",[2023-09-08 19:20:37 439],88.0
11414,"104,802",[2023-09-08 19:20:37 939],89.0
11472,"105,302",[2023-09-08 19:20:38 439],89.0
11528,"105,802",[2023-09-08 19:20:38 939],89.0
11585,"106,302",[2023-09-08 19:20:39 439],89.0
11642,"106,802",[2023-09-08 19:20:39 939],88.0
11700,"107,302",[2023-09-08 19:20:40 439],88.0
11756,"107,802",[2023-09-08 19:20:40 939],88.0
11813,"108,302",[2023-09-08 19:20:41 439],87.0
11867,"108,802",[2023-09-08 19:20:41 939],86.0
11923,"109,302",[2023-09-08 19:20:42 439],85.0
11978,"109,802",[2023-09-08 19:20:42 939],85.0
12036,"110,302",[2023-09-08 19:20:43 439],85.0
12093,"110,802",[2023-09-08 19:20:43 939],85.0
12149,"111,302",[2023-09-08 19:20:44 439],85.0
12206,"111,802",[2023-09-08 19:20:44 939],85.0
12263,"112,302",[2023-09-08 19:20:45 439],85.0
12315,"112,802",[2023-09-08 19:20:45 939],85.0
12372,"113,302",[2023-09-08 19:20:46 439],85.0
12429,"113,802",[2023-09-08 19:20:46 939],84.0
12487,"114,302",[2023-09-08 19:20:47 439],84.0
12542,"114,802",[2023-09-08 19:20:47 939],83.0
12600,"115,302",[2023-09-08 19:20:48 439],83.0
12657,"115,802",[2023-09-08 19:20:48 939],82.0
12710,"116,302",[2023-09-08 19:20:49 439],82.0
12765,"116,802",[2023-09-08 19:20:49 939],81.0
12823,"117,302",[2023-09-08 19:20:50 439],81.0
12878,"117,802",[2023-09-08 19:20:50 939],80.0
12936,"118,302",[2023-09-08 19:20:51 439],80.0
12993,"118,802",[2023-09-08 19:20:51 939],80.0
13049,"119,302",[2023-09-08 19:20:52 439],79.0
13105,"119,802",[2023-09-08 19:20:52 939],79.0
13161,"120,302",[2023-09-08 19:20:53 439],78.0
13216,"120,802",[2023-09-08 19:20:53 939],79.0
13274,"121,302",[2023-09-08 19:20:54 439],79.0
13331,"121,802",[2023-09-08 19:20:54 939],78.0
13387,"122,302",[2023-09-08 19:20:55 439],78.0
13446,"122,802",[2023-09-08 19:20:55 939],79.0
13504,"123,302",[2023-09-08 19:20:56 439],79.0
13555,"123,802",[2023-09-08 19:20:56 939],78.0
13612,"124,302",[2023-09-08 19:20:57 439],78.0
13669,"124,802",[2023-09-08 19:20:57 939],78.0
13725,"125,302",[2023-09-08 19:20:58 439],78.0
13782,"125,802",[2023-09-08 19:20:58 939],78.0
13838,"126,302",[2023-09-08 19:20:59 439],78.0
13895,"126,802",[2023-09-08 19:20:59 939],77.0
13949,"127,302",[2023-09-08 19:21:00 439],77.0
14002,"127,802",[2023-09-08 19:21:00 939],78.0
14060,"128,302",[2023-09-08 19:21:01 439],79.0
14117,"128,802",[2023-09-08 19:21:01 939],79.0
14173,"129,302",[2023-09-08 19:21:02 439],80.0
14229,"129,802",[2023-09-08 19:21:02 939],80.0
14287,"130,302",[2023-09-08 19:21:03 439],80.0
14343,"130,802",[2023-09-08 19:21:03 939],80.0
14397,"131,302",[2023-09-08 19:21:04 439],80.0
14454,"131,802",[2023-09-08 19:21:04 939],80.0
14513,"132,302",[2023-09-08 19:21:05 439],80.0
14568,"132,802",[2023-09-08 19:21:05 939],79.0
14626,"133,302",[2023-09-08 19:21:06 439],78.0
14682,"133,802",[2023-09-08 19:21:06 939],78.0
14739,"134,302",[2023-09-08 19:21:07 439],77.0
14793,"134,802",[2023-09-08 19:21:07 939],77.0
14850,"135,302",[2023-09-08 19:21:08 439],77.0
14906,"135,802",[2023-09-08 19:21:08 939],77.0
14963,"136,302",[2023-09-08 19:21:09 439],77.0
15019,"136,802",[2023-09-08 19:21:09 939],77.0
15077,"137,302",[2023-09-08 19:21:10 439],77.0
