,0,1,2,3,4,cluster
0,0.005,0.0019,0.0022,0.002,0.0022,1
0,0.0022,0.002,0.0022,0.0018,0.0021,1
0,0.0022,0.0018,0.0021,0.0023,0.0022,1
0,0.0021,0.0023,0.0022,0.0024,0.0023,1
0,0.0022,0.0024,0.0023,0.0022,0.0026,1
0,0.0023,0.0022,0.0026,0.0022,0.0024,1
0,0.0026,0.0022,0.0024,0.0025,0.0019,1
0,0.0024,0.0025,0.0019,0.002,0.0021,1
0,0.0019,0.002,0.0021,0.0022,0.0022,1
0,0.0021,0.0022,0.0022,0.0023,0.0017,1
0,0.0022,0.0023,0.0017,0.0018,0.0017,1
0,0.0017,0.0018,0.0017,0.0017,0.0015,1
0,0.0017,0.0017,0.0015,0.0018,0.0018,1
0,0.0015,0.0018,0.0018,0.0021,0.0017,1
0,0.0018,0.0021,0.0017,0.0018,0.0016,1
0,0.0017,0.0018,0.0016,0.0021,0.0018,1
0,0.0016,0.0021,0.0018,0.0023,0.0033,1
0,0.0018,0.0023,0.0033,0.0077,0.0063,1
0,0.0033,0.0077,0.0063,0.0043,0.0238,2
0,0.0063,0.0043,0.0238,0.059,0.0414,2
0,0.0238,0.059,0.0414,0.0176,0.0162,2
0,0.0414,0.0176,0.0162,0.022,0.0144,2
0,0.0162,0.022,0.0144,0.0326,0.0272,2
0,0.0144,0.0326,0.0272,0.0624,0.0615,2
0,0.0272,0.0624,0.0615,0.0276,0.021,3
0,0.0615,0.0276,0.021,0.0196,0.0211,2
0,0.021,0.0196,0.0211,0.015,0.0185,1
0,0.0211,0.015,0.0185,0.022,0.0324,2
0,0.0185,0.022,0.0324,0.0222,0.0232,2
0,0.0324,0.0222,0.0232,0.054,0.0278,2
0,0.0232,0.054,0.0278,0.0237,0.0258,2
0,0.0278,0.0237,0.0258,0.0113,0.0194,2
0,0.0258,0.0113,0.0194,0.0438,0.0326,2
0,0.0194,0.0438,0.0326,0.0712,0.0683,3
0,0.0326,0.0712,0.0683,0.0065,0.0044,3
0,0.0683,0.0065,0.0044,0.0041,0.0291,2
0,0.0044,0.0041,0.0291,0.047,0.1055,3
