,0,1,2,3,4,cluster
0,0.0053,0.0029,0.0061,0.0043,0.0022,1
0,0.0061,0.0043,0.0022,0.0036,0.002,1
0,0.0022,0.0036,0.002,0.0022,0.0033,1
0,0.002,0.0022,0.0033,0.0039,0.0018,1
0,0.0033,0.0039,0.0018,0.002,0.0022,1
0,0.0018,0.002,0.0022,0.0019,0.0018,1
0,0.0022,0.0019,0.0018,0.0022,0.002,1
0,0.0018,0.0022,0.002,0.0021,0.0065,1
0,0.002,0.0021,0.0065,0.0023,0.002,1
0,0.0065,0.0023,0.002,0.0967,0.0217,4
0,0.002,0.0967,0.0217,0.0234,0.0497,4
0,0.0217,0.0234,0.0497,0.0658,0.0379,4
0,0.0497,0.0658,0.0379,0.0455,0.0094,4
0,0.0379,0.0455,0.0094,0.0647,0.0319,4
0,0.0094,0.0647,0.0319,0.0868,0.0936,4
0,0.0319,0.0868,0.0936,0.0395,0.0734,4
0,0.0936,0.0395,0.0734,0.0804,0.062,4
0,0.0734,0.0804,0.062,0.0465,0.023,4
0,0.062,0.0465,0.023,0.0261,0.0102,4
0,0.023,0.0261,0.0102,0.0357,0.0036,3
0,0.0102,0.0357,0.0036,0.0051,0.0171,2
0,0.0036,0.0051,0.0171,0.0491,0.0098,3
0,0.0171,0.0491,0.0098,0.0284,0.0224,4
0,0.0098,0.0284,0.0224,0.003,0.0096,2
0,0.0224,0.003,0.0096,0.0138,0.0096,2
0,0.0096,0.0138,0.0096,0.0029,0.0191,2
0,0.0096,0.0029,0.0191,0.0687,0.141,4
0,0.0191,0.0687,0.141,0.036,0.0097,4
0,0.141,0.036,0.0097,0.0115,0.0574,4
0,0.0097,0.0115,0.0574,0.0759,0.1274,4
0,0.0574,0.0759,0.1274,0.072,0.0469,4
0,0.1274,0.072,0.0469,0.0271,0.0133,4
0,0.0469,0.0271,0.0133,0.0205,0.0109,3
0,0.0133,0.0205,0.0109,0.0044,0.0167,2
0,0.0109,0.0044,0.0167,0.0311,0.0092,3
0,0.0167,0.0311,0.0092,0.0129,0.0126,2
0,0.0092,0.0129,0.0126,0.0087,0.011,1
0,0.0126,0.0087,0.011,0.0304,0.0154,3
0,0.011,0.0304,0.0154,0.0057,0.0065,2
0,0.0154,0.0057,0.0065,0.006,0.0064,2
0,0.0065,0.006,0.0064,0.0072,0.0093,1
0,0.0064,0.0072,0.0093,0.0097,0.0074,1
0,0.0093,0.0097,0.0074,0.007,0.0042,1
0,0.0074,0.007,0.0042,0.006,0.0057,1
0,0.0042,0.006,0.0057,0.0068,0.0069,1
0,0.0057,0.0068,0.0069,0.0068,0.0046,1
0,0.0069,0.0068,0.0046,0.0028,0.0028,1
0,0.0046,0.0028,0.0028,0.0056,0.0048,1
0,0.0028,0.0056,0.0048,0.0063,0.0094,1
0,0.0048,0.0063,0.0094,0.0103,0.0118,1
0,0.0094,0.0103,0.0118,0.0217,0.0117,2
0,0.0118,0.0217,0.0117,0.0101,0.0135,2
0,0.0117,0.0101,0.0135,0.0106,0.0096,1
0,0.0135,0.0106,0.0096,0.0206,0.0092,2
0,0.0096,0.0206,0.0092,0.0087,0.0096,2
0,0.0092,0.0087,0.0096,0.0086,0.0112,1
0,0.0096,0.0086,0.0112,0.0062,0.0073,1
0,0.0112,0.0062,0.0073,0.0071,0.0064,1
0,0.0073,0.0071,0.0064,0.0042,0.0051,1
0,0.0064,0.0042,0.0051,0.0054,0.0056,1
0,0.0051,0.0054,0.0056,0.0074,0.0041,1
0,0.0056,0.0074,0.0041,0.0052,0.0053,1
0,0.0041,0.0052,0.0053,0.0048,0.0044,1
0,0.0053,0.0048,0.0044,0.0065,0.0114,1
0,0.0044,0.0065,0.0114,0.0092,0.0104,1
0,0.0114,0.0092,0.0104,0.0108,0.0127,1
0,0.0104,0.0108,0.0127,0.0168,0.0169,2
0,0.0127,0.0168,0.0169,0.0143,0.0209,2
0,0.0169,0.0143,0.0209,0.0133,0.0052,2
0,0.0209,0.0133,0.0052,0.0043,0.0081,2
0,0.0052,0.0043,0.0081,0.005,0.0082,1
0,0.0081,0.005,0.0082,0.0034,0.0022,1
0,0.0082,0.0034,0.0022,0.0022,0.0022,1
0,0.0022,0.0022,0.0022,0.005,0.0022,1
0,0.0022,0.005,0.0022,0.002,0.0026,1
0,0.0022,0.002,0.0026,0.0026,0.0073,1
0,0.0026,0.0026,0.0073,0.0072,0.0063,1
0,0.0073,0.0072,0.0063,0.0136,0.0159,2
0,0.0063,0.0136,0.0159,0.0139,0.0049,2
0,0.0159,0.0139,0.0049,0.009,0.0111,2
0,0.0049,0.009,0.0111,0.0207,0.0275,2
0,0.0111,0.0207,0.0275,0.0129,0.0158,2
0,0.0275,0.0129,0.0158,0.0118,0.0231,2
0,0.0158,0.0118,0.0231,0.0158,0.0167,2
0,0.0231,0.0158,0.0167,0.0129,0.0194,2
0,0.0167,0.0129,0.0194,0.017,0.017,2
0,0.0194,0.017,0.017,0.0144,0.0181,2
0,0.017,0.0144,0.0181,0.0203,0.0152,2
0,0.0181,0.0203,0.0152,0.0103,0.0074,2
0,0.0152,0.0103,0.0074,0.0305,0.0126,3
0,0.0074,0.0305,0.0126,0.0148,0.0132,2
0,0.0126,0.0148,0.0132,0.0125,0.0132,1
0,0.0132,0.0125,0.0132,0.0154,0.0135,2
0,0.0132,0.0154,0.0135,0.0156,0.0139,2
0,0.0135,0.0156,0.0139,0.0151,0.0192,2
0,0.0139,0.0151,0.0192,0.0181,0.014,2
0,0.0192,0.0181,0.014,0.013,0.013,2
0,0.014,0.013,0.013,0.0122,0.0154,2
0,0.013,0.0122,0.0154,0.0157,0.0144,2
0,0.0154,0.0157,0.0144,0.0194,0.0194,2
0,0.0144,0.0194,0.0194,0.0182,0.0161,2
0,0.0194,0.0182,0.0161,0.0153,0.0153,2
0,0.0161,0.0153,0.0153,0.0147,0.0146,2
0,0.0153,0.0147,0.0146,0.0162,0.0138,2
0,0.0146,0.0162,0.0138,0.0124,0.011,2
0,0.0138,0.0124,0.011,0.0094,0.01,1
0,0.011,0.0094,0.01,0.0095,0.0081,1
0,0.01,0.0095,0.0081,0.0079,0.0106,1
0,0.0081,0.0079,0.0106,0.0083,0.0059,1
0,0.0106,0.0083,0.0059,0.0076,0.0105,1
0,0.0059,0.0076,0.0105,0.0052,0.0063,1
0,0.0105,0.0052,0.0063,0.0101,0.0093,1
0,0.0063,0.0101,0.0093,0.0386,0.0135,3
0,0.0093,0.0386,0.0135,0.0075,0.0095,2
0,0.0135,0.0075,0.0095,0.0134,0.0082,2
0,0.0095,0.0134,0.0082,0.0082,0.0114,1
0,0.0082,0.0082,0.0114,0.0145,0.0143,2
0,0.0114,0.0145,0.0143,0.0467,0.0171,3
0,0.0143,0.0467,0.0171,0.016,0.0188,4
0,0.0171,0.016,0.0188,0.0145,0.015,2
0,0.0188,0.0145,0.015,0.0129,0.0105,2
0,0.015,0.0129,0.0105,0.0087,0.0107,1
0,0.0105,0.0087,0.0107,0.009,0.0034,1
0,0.0107,0.009,0.0034,0.0036,0.0031,1
0,0.0034,0.0036,0.0031,0.0105,0.0079,1
0,0.0031,0.0105,0.0079,0.0084,0.0081,1
0,0.0079,0.0084,0.0081,0.0134,0.0054,2
0,0.0081,0.0134,0.0054,0.0041,0.0064,2
0,0.0054,0.0041,0.0064,0.0079,0.0059,1
0,0.0064,0.0079,0.0059,0.0044,0.0045,1
0,0.0059,0.0044,0.0045,0.0041,0.005,1
0,0.0045,0.0041,0.005,0.0051,0.0087,1
0,0.005,0.0051,0.0087,0.0059,0.0065,1
0,0.0087,0.0059,0.0065,0.0095,0.0133,1
0,0.0065,0.0095,0.0133,0.0115,0.01,1
0,0.0133,0.0115,0.01,0.008,0.0141,1
0,0.01,0.008,0.0141,0.016,0.0148,2
0,0.0141,0.016,0.0148,0.0244,0.0187,2
0,0.0148,0.0244,0.0187,0.0128,0.0083,2
0,0.0187,0.0128,0.0083,0.0076,0.0088,2
0,0.0083,0.0076,0.0088,0.0077,0.01,1
0,0.0088,0.0077,0.01,0.0133,0.016,2
0,0.01,0.0133,0.016,0.014,0.009,2
0,0.016,0.014,0.009,0.0075,0.0068,2
0,0.009,0.0075,0.0068,0.0074,0.0059,1
0,0.0068,0.0074,0.0059,0.0058,0.0038,1
0,0.0059,0.0058,0.0038,0.0079,0.0097,1
0,0.0038,0.0079,0.0097,0.01,0.0068,1
0,0.0097,0.01,0.0068,0.0096,0.0123,1
0,0.0068,0.0096,0.0123,0.0349,0.0149,3
0,0.0123,0.0349,0.0149,0.045,0.0191,4
0,0.0149,0.045,0.0191,0.0161,0.026,4
0,0.0191,0.0161,0.026,0.0162,0.0223,2
0,0.026,0.0162,0.0223,0.0106,0.0147,2
0,0.0223,0.0106,0.0147,0.0188,0.0128,2
0,0.0147,0.0188,0.0128,0.0048,0.0037,2
0,0.0128,0.0048,0.0037,0.005,0.0063,1
0,0.0037,0.005,0.0063,0.0042,0.0028,1
0,0.0063,0.0042,0.0028,0.0035,0.005,1
0,0.0028,0.0035,0.005,0.0069,0.0049,1
0,0.005,0.0069,0.0049,0.0158,0.008,2
0,0.0049,0.0158,0.008,0.0065,0.0063,2
0,0.008,0.0065,0.0063,0.0104,0.0114,1
0,0.0063,0.0104,0.0114,0.0033,0.003,2
0,0.0114,0.0033,0.003,0.0198,0.0061,2
0,0.003,0.0198,0.0061,0.0101,0.0236,2
0,0.0061,0.0101,0.0236,0.0071,0.0079,2
0,0.0236,0.0071,0.0079,0.0064,0.0077,2
0,0.0079,0.0064,0.0077,0.0077,0.0066,1
0,0.0077,0.0077,0.0066,0.0064,0.006,1
0,0.0066,0.0064,0.006,0.005,0.0088,1
0,0.006,0.005,0.0088,0.0092,0.0076,1
0,0.0088,0.0092,0.0076,0.0068,0.009,1
0,0.0076,0.0068,0.009,0.0345,0.0198,3
0,0.009,0.0345,0.0198,0.0336,0.0133,4
0,0.0198,0.0336,0.0133,0.0037,0.0126,2
0,0.0133,0.0037,0.0126,0.0195,0.0197,2
0,0.0126,0.0195,0.0197,0.017,0.0418,3
0,0.0197,0.017,0.0418,0.0123,0.0068,4
0,0.0418,0.0123,0.0068,0.008,0.0082,3
0,0.0068,0.008,0.0082,0.007,0.0056,1
0,0.0082,0.007,0.0056,0.0073,0.0054,1
0,0.0056,0.0073,0.0054,0.0055,0.0053,1
0,0.0054,0.0055,0.0053,0.0062,0.0092,1
0,0.0053,0.0062,0.0092,0.0057,0.0077,1
0,0.0092,0.0057,0.0077,0.0073,0.0083,1
0,0.0077,0.0073,0.0083,0.016,0.0104,2
0,0.0083,0.016,0.0104,0.008,0.0241,2
0,0.0104,0.008,0.0241,0.0116,0.0094,2
0,0.0241,0.0116,0.0094,0.0102,0.008,2
0,0.0094,0.0102,0.008,0.009,0.0113,1
0,0.008,0.009,0.0113,0.0191,0.0136,2
0,0.0113,0.0191,0.0136,0.02,0.0168,2
0,0.0136,0.02,0.0168,0.0137,0.0102,2
0,0.0168,0.0137,0.0102,0.0106,0.0103,1
0,0.0102,0.0106,0.0103,0.0143,0.0121,1
0,0.0103,0.0143,0.0121,0.0124,0.0127,1
