Basico (2023-08-25 to 2023-08-25)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Avg (km/h),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),HR Avg  Total (bpm),% AvgHR,HR Max  Total (bpm),HR Duration  Total (min:sec), Athlete Load,Max Jump Height  (cm),Jump Rate (jumps/min),Jump Count (num),Body Impacts (num),ActivityLoad 3D,
"Arrojeria, Esther",Super Amara Bera Bera,25/08/2023,05:52:27 PM,127:21,4:44,0:42,"6215","49","1323","60","2,9","30,5","185","101","129","107,50%","184",125:19,"84","28","0","11","1","275",
"Arroyo, Carmen",Super Amara Bera Bera,25/08/2023,05:52:38 PM,131:00,0:56,22:59,"3732","28","252","1617","1,7","19,7","122","47","140","116,70%","197",130:00,"52","36","0","29","5","273",
"Boada, Emma",Super Amara Bera Bera,25/08/2023,05:53:51 PM,127:43,5:38,2:41,"6165","48","1633","301","2,9","29,5","185","121","134","111,70%","187",127:15,"90","13","0","4","4","292",
"Cavo, Malena",Super Amara Bera Bera,25/08/2023,05:52:33 PM,128:21,4:23,0:09,"4727","37","1321","30","2,2","32,4","148","100","114","95,00%","182",120:39,"78","62","0","7","1","238",
"Erauskin, Anne",Super Amara Bera Bera,25/08/2023,05:53:56 PM,130:25,6:57,7:21,"6397","49","2166","884","2,9","32,6","154","112","119","99,20%","194",130:02,"99","31","0","13","0","274",
"Etxeberria, Maitane",Super Amara Bera Bera,25/08/2023,05:52:35 PM,131:17,6:12,0:26,"5245","40","1825","46","2,4","31,8","169","122","111","92,50%","182",129:42,"91","46","0","19","0","263",
"Fernandes, Alice",Super Amara Bera Bera,25/08/2023,05:52:55 PM,129:02,2:04,0:00,"4421","34","581","0","2,1","34,1","126","41","120","100,00%","167",128:32,"60","20","0","8","0","200",
"Fernandes, Mariane",Super Amara Bera Bera,25/08/2023,05:53:18 PM,129:52,4:12,15:43,"5245","40","1181","1305","2,4","30,9","154","84","136","113,30%","194",129:06,"77","37","0","11","6","245",
"Gavilan, Giuliana",Super Amara Bera Bera,25/08/2023,05:53:15 PM,125:57,3:34,4:39,"5000","40","985","422","2,4","25,2","182","84","130","108,30%","186",125:22,"74","28","0","8","2","252",
"Hernandez, Laura",Super Amara Bera Bera,25/08/2023,05:52:30 PM,127:24,3:45,1:45,"3867","30","1114","168","1,8","31,8","91","62","126","105,00%","183",125:27,"66","24","0","6","1","177",
"Karsten, Elke",Super Amara Bera Bera,25/08/2023,05:53:11 PM,134:41,2:41,1:12,"4086","30","810","47","1,8","29,8","111","59","114","95,00%","183",134:15,"64","28","0","13","2","200",
"Loidi, June",Super Amara Bera Bera,25/08/2023,05:54:09 PM,133:31,5:25,0:36,"5759","43","1579","55","2,6","30,1","235","148","121","100,80%","181",133:08,"94","22","0","27","2","312",
"Louis, Marie",Super Amara Bera Bera,25/08/2023,05:52:25 PM,125:52,10:50,0:00,"7593","60","3462","0","3,6","32,7","212","167","134","111,70%","178",125:05,"131","33","0","6","1","346",
"Maddi, Aalla",Super Amara Bera Bera,25/08/2023,05:52:00 PM,127:11,2:11,0:03,"4118","32","591","2","1,9","26,4","119","52","123","102,50%","181",126:02,"59","29","0","17","0","197",
"Menendez, Alba",Super Amara Bera Bera,25/08/2023,05:52:00 PM,126:26,3:38,0:00,"4695","37","1028",**,"2,2","29,3","139","82","126","105,00%","157",71:48,"70","27","0","11","0","225",
"Tchaptchet, Lyndie",Super Amara Bera Bera,25/08/2023,05:54:18 PM,124:49,1:20,36:46,"5269","42","373","3173","2,5","23,7","138","62","150","125,00%","203",124:02,"58","27","0","4","0","236",
Avg,**,**,**,128:48,4:16,5:56,"5158","40","1264","507","2,4","29,4","154","90","126,7","105,60%","183,7",124:06,"78","31","0","12","2","250",
Lowest,**,**,**,124:49,0:56,0:00,"3732","28","252","0","1,7","19,7","91","41","111","92,50%","157",71:48,"52","13","0","4","0","177",
Highest,**,**,**,134:41,10:50,36:46,"7593","60","3462","3173","3,6","34,1","235","167","150","125,00%","203",134:15,"131","62","0","29","6","346",
