Game, Start, End, Period, Team, Event, Phase, Offense System, Defense System, Assist, Offense Player Number, Offense Player Name, Offense Player Position, Defense Player Number, Defense Player Name, Defense Player Position, Shooter Position, Shot Location, Home Team, Visitor Team, Possession, Important, Game System
 BERABERA vs GRANOLLERS, 00:00:00, 00:00:00, T1, GRANOLLERS, FIRST_HALF_START, OFFENSE_POSITIONAL, EQUALITY, 6:0, , , , , , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 06-O.VILA, 09-L.KOFLER, 14-O. VEGUE, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 1,false
BERABERA vs GRANOLLERS, 00:00:00, 00:00:36, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, 42, 42-C.POLONIO, lp, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 1,false
BERABERA vs GRANOLLERS, 00:00:36, 00:00:45, T1, GRANOLLERS, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 1, 01-A.DIVA, gk, RIGHT_6M, 0, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 1,false
BERABERA vs GRANOLLERS, 00:00:45, 00:00:55, T1, BERABERA, LOST_BALL, FAST_BREAK, EQUALITY, 6:0, , 22, 22-J. LOIDI, lb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 1,false
BERABERA vs GRANOLLERS, 00:00:55, 00:01:24, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 22, 22-P.MILAGROS, lb, 22, 22-J. LOIDI, lb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 2,false
BERABERA vs GRANOLLERS, 00:01:24, 00:01:36, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 23, 23-P.ARCOS, lb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 2,false
BERABERA vs GRANOLLERS, 00:01:36, 00:01:54, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 23, 23-A.GONZALEZ, rw, 1, 01-A.DIVA, gk, RIGHT_WING, 4, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 2,false
BERABERA vs GRANOLLERS, 00:01:54, 00:02:11, T1, BERABERA, 7M_PROVOKE, COUNTER_GOAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 17, 17-E.SOMAZA, lb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 2,false
BERABERA vs GRANOLLERS, 00:02:11, 00:02:22, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 23, 23-P.ARCOS, lb, 16, 16-M. MERA, gk, 7_METERS, 4, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 16-M. MERA, 2,false
BERABERA vs GRANOLLERS, 00:02:22, 00:02:51, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 3,false
BERABERA vs GRANOLLERS, 00:02:51, 00:03:02, T1, BERABERA, SAVE, FAST_BREAK, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 1, 01-N. WIGGINS, gk, RIGHT_6M, 6, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 3,false
BERABERA vs GRANOLLERS, 00:03:02, 00:03:07, T1, GRANOLLERS, GOAL, FAST_BREAK, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 1, 01-A.DIVA, gk, LEFT_6M, 1, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 4,false
